Plot_period;Averaging;Ion_contamination_correction;Energy_channel;Primary_energy;Energy_error_low;Energy_error_high;Bg_start;Bg_end;Searchstart;Searchend;Peak_timestamp;Background_flux;Flux_peak;Bg_subtracted_peak;Peak_electron_uncertainty;Bg_electron_uncertainty;Peak_significance;Flux_average;Bg_subtracted_average;Average_significance;Backsub_peak_uncertainty;rel_backsub_peak_err;frac_nonan
2020-11-18-0900;Mean;True;0;0.03295087252259035;0.0017508725225903535;0.0018491274774096456;2020-11-18 11:31:50.251880;2020-11-18 12:31:50.251880;2020-11-18 14:31:50.251880;2020-11-18 15:31:50.251880;2020-11-18 14:48:00;1545.6381637169102;8867.6064453125;7321.968281595589;1810.092529296875;138.25171318616862;6.710746086890573;3517.553874398325;1971.915710681415;1.8073044200963997;1815.3645641620499;0.247933956327717;1.0
2020-11-18-1700;Resampled to 2min;;1;0.03489555845662883;0.0018955584566288305;0.00200444154337117;2020-11-18 11:31:16.595138;2020-11-18 12:31:16.595138;2020-11-18 14:31:16.595138;2020-11-18 15:31:16.595138;2020-11-18 14:46:00;2375.230446665797;13891.95927525464;11516.728828588843;2316.6239660088136;175.05463992476305;7.744818427404708;5413.869616400166;3038.639169734369;2.0434368982946776;2323.2285136950245;0.20172642321211032;1.0
;;;2;0.036364818162614256;0.001564818162614258;0.0016351818373857435;2020-11-18 11:30:53.035126;2020-11-18 12:30:53.035126;2020-11-18 14:30:53.035126;2020-11-18 15:30:53.035126;2020-11-18 14:44:00;1368.319246561228;11368.409792130999;10000.09054556977;1696.0586168425687;107.60154494018994;11.021816435766683;3560.7478021036554;2192.4285555424276;2.4164326290452527;1699.4684240195352;0.1699453036225189;1.0
;;;3;0.03927849284277593;0.0012784928427759315;0.0013215071572240666;2020-11-18 11:30:10.417775;2020-11-18 12:30:10.417775;2020-11-18 14:30:10.417775;2020-11-18 15:30:10.417775;2020-11-18 14:42:00;1071.8992546714992;7251.907708175011;6180.008453503512;1303.1748207247674;91.65451554261533;8.109079072761482;2797.215093352468;1725.315838680969;2.2638678679185755;1306.3939542076812;0.21139031832020758;1.0
;;;4;0.041879828079876356;0.0012798280798763592;0.0013201719201236459;2020-11-18 11:29:36.323888;2020-11-18 12:29:36.323888;2020-11-18 14:29:36.323888;2020-11-18 15:29:36.323888;2020-11-18 14:46:00;931.041783190076;7008.79086069131;6077.749077501234;1240.0245930476249;82.67069314191507;8.570500338892746;2429.927517695874;1498.8857345057982;2.113644464707804;1242.7773070294986;0.20447986436788634;1.0
;;;5;0.04452954075667074;0.001329540756670737;0.001370459243329264;2020-11-18 11:29:04.831500;2020-11-18 12:29:04.831500;2020-11-18 14:29:04.831500;2020-11-18 15:29:04.831500;2020-11-18 14:42:00;679.8169859186316;5857.87944443211;5178.062458513478;1107.606235539553;69.07417622749914;11.860637043466816;2076.19132151262;1396.3743355939885;3.198472267182158;1109.757998316573;0.21431916034384088;1.0
;;;6;0.04776222356632907;0.00186222356632907;0.0019377764336709277;2020-11-18 11:28:30.161543;2020-11-18 12:28:30.161543;2020-11-18 14:28:30.161543;2020-11-18 15:28:30.161543;2020-11-18 14:42:00;614.659531838263;5274.451048183684;4659.791516345421;891.9679933194956;55.74024480795845;9.157556488117978;1510.0718481759009;895.4123163376379;1.7596900715956088;893.7079366312347;0.19179139957148802;1.0
;;;7;0.051468534076656976;0.0017685340766569746;0.0018314659233430244;2020-11-18 11:27:54.676609;2020-11-18 12:27:54.676609;2020-11-18 14:27:54.676609;2020-11-18 15:27:54.676609;2020-11-18 14:40:00;484.23851851082475;4133.455233539281;3649.2167150284563;781.5672670494782;48.990090400028414;8.730098669049129;1390.862182456084;906.6236639452592;2.168935051004564;783.101156863271;0.2145943137984241;1.0
;;;8;0.05560035971106662;0.002300359711066617;0.0023996402889333857;2020-11-18 11:27:19.571576;2020-11-18 12:27:19.571576;2020-11-18 14:27:19.571576;2020-11-18 15:27:19.571576;2020-11-18 14:40:00;366.19436155146343;3079.988018266057;2713.793656714594;593.1060087173809;37.475789262411396;9.07183487290672;945.1823554506606;578.9879938991971;1.9354763620487883;594.2887954164225;0.218988202712467;1.0
;;;9;0.06030422870744639;0.0023042287074463846;0.002395771292553618;2020-11-18 11:26:44.301694;2020-11-18 12:26:44.301694;2020-11-18 14:26:44.301694;2020-11-18 15:26:44.301694;2020-11-18 14:42:00;289.22231868429515;2437.358201089627;2148.135882405332;519.9950239240519;32.84905016943603;8.225042858060737;751.7923088092683;462.5699901249732;1.77114400666798;521.0315585478575;0.24255055874977652;1.0
;;;10;0.06495929494691272;0.00225929494691271;0.002340705053087283;2020-11-18 11:26:13.441634;2020-11-18 12:26:13.441634;2020-11-18 14:26:13.441634;2020-11-18 15:26:13.441634;2020-11-18 14:42:00;240.47072693205686;1630.7109757846717;1390.240248852615;421.41116231245326;29.69092187210943;8.621752024872716;549.3711825852445;308.9004556531876;1.9156855307634801;422.4558184747235;0.3038725276608718;1.0
;;;11;0.07014007413740023;0.002840074137400228;0.0029599258625997715;2020-11-18 11:25:42.983446;2020-11-18 12:25:42.983446;2020-11-18 14:25:42.983446;2020-11-18 15:25:42.983446;2020-11-18 14:42:00;156.38686150454456;1055.4958823403515;899.109020835807;305.0657688575322;21.57489378089919;6.097995290978438;415.01252334407525;258.6256618395307;1.7540676730810445;305.8277282561121;0.34014532294628325;1.0
;;;12;0.0758965084835923;0.002796508483592308;0.0029034915164076885;2020-11-18 11:25:13.094169;2020-11-18 12:25:13.094169;2020-11-18 14:25:13.094169;2020-11-18 15:25:13.094169;2020-11-18 14:40:00;102.48027869722175;1218.0993576219607;1115.619078924739;325.84731952524754;17.421414345347692;9.637603063768397;430.7973042099658;328.317025512744;2.836263049587384;326.3127048087173;0.2924947331693408;1.0
;;;13;0.08212965359722393;0.003329653597223939;0.0034703464027760617;2020-11-18 11:24:44.576451;2020-11-18 12:24:44.576451;2020-11-18 14:24:44.576451;2020-11-18 15:24:44.576451;2020-11-18 14:34:00;128.06982189677143;661.151816671707;533.0819947749355;220.79962447408587;17.864294041056553;4.551705218448451;258.38177154146695;130.31194964469552;1.1126648189916333;221.52112127172586;0.4155479334192312;1.0
;;;14;0.08941498755801512;0.003814987558015126;0.003985012441984875;2020-11-18 11:24:15.370269;2020-11-18 12:24:15.370269;2020-11-18 14:24:15.370269;2020-11-18 15:24:15.370269;2020-11-18 14:36:00;96.71153305137076;752.3281714932889;655.6166384419181;218.00026662347577;14.384683342804285;8.522447752184325;214.45191646682406;117.7403834154533;1.5305228805129631;218.4743357073761;0.33323488590311456;1.0
;;;15;0.09717376189074908;0.003773761890749086;0.003926238109250912;2020-11-18 11:23:48.229070;2020-11-18 12:23:48.229070;2020-11-18 14:23:48.229070;2020-11-18 15:23:48.229070;2020-11-18 14:34:00;79.8428754228658;564.7072334430039;484.8643580201381;188.52120076169376;13.08632605624884;5.030015119770661;207.94520460157892;128.10232917871312;1.3289420886243053;188.97485299976105;0.3897478745837455;1.0
;;;16;0.10588668471531253;0.004786684715312531;0.005013315284687472;2020-11-18 11:23:21.674747;2020-11-18 12:23:21.674747;2020-11-18 14:23:21.674747;2020-11-18 15:23:21.674747;2020-11-18 14:30:00;66.13692972545599;298.23256112736664;232.09563140191065;121.80704776783577;10.620146431880935;4.483659733732209;116.17935569676281;50.04242597130683;-1.0;122.2691473600369;0.5268050355859923;1.0
;;;17;0.11521601451187244;0.00431601451187244;0.004483985488127562;2020-11-18 11:22:56.949237;2020-11-18 12:22:56.949237;2020-11-18 14:22:56.949237;2020-11-18 15:22:56.949237;2020-11-18 14:36:00;29.098133620369374;324.1267682121957;295.02863459182635;133.3276824891133;7.488718291044678;8.070488419784189;80.1806291628398;51.08249554247042;1.3973582235485371;133.53782917046553;0.4526266725099949;1.0
;;;18;0.1249833988976136;0.005283398897613603;0.005516601102386401;2020-11-18 11:22:34.375538;2020-11-18 12:22:34.375538;2020-11-18 14:22:34.375538;2020-11-18 15:22:34.375538;2020-11-18 14:30:00;26.39220318761739;354.6912091123694;328.299005924752;125.42692973886957;6.453613770500265;10.275674093286366;85.76572548500894;59.37352229739155;1.858375913079389;125.59284945576367;0.38255628920347773;1.0
;;;19;0.13627233761846166;0.005772337618461659;0.006027662381538346;2020-11-18 11:22:11.685732;2020-11-18 12:22:11.685732;2020-11-18 14:22:11.685732;2020-11-18 15:22:11.685732;2020-11-18 15:02:00;35.86083018286046;160.50319454743698;124.64236436457651;80.25167083751069;7.0866611233685655;4.005496208386893;56.1058609634514;20.245030780590938;-1.0;80.56395867936001;0.6463609631450186;1.0
;;;20;0.14808251078368437;0.005782510783684358;0.006017489216315619;2020-11-18 11:21:51.093287;2020-11-18 12:21:51.093287;2020-11-18 14:21:51.093287;2020-11-18 15:21:51.093287;2020-11-18 14:32:00;27.623779205385;158.4966766201541;130.87289741476908;79.3501560112719;6.21342839167798;3.986882876836392;42.163518752687835;14.539739547302837;-1.0;79.59305215527107;0.6081706275900708;1.0
;;;21;0.16085207490113393;0.006752074901133942;0.007047925098866065;2020-11-18 11:21:31.738938;2020-11-18 12:21:31.738938;2020-11-18 14:21:31.738938;2020-11-18 15:21:31.738938;2020-11-18 14:48:00;24.622641194946826;101.77496337890625;77.15232218395943;58.759803771972656;5.434163533385095;2.942101125787951;35.836304598852934;11.213663403906107;-1.0;59.01054713039275;0.7648576926782575;1.0
;;;22;0.1755267785837819;0.007626778583781912;0.00797322141621809;2020-11-18 11:21:12.497223;2020-11-18 12:21:12.497223;2020-11-18 14:21:12.497223;2020-11-18 15:21:12.497223;2020-11-18 14:58:00;15.32201641152571;87.60099915952033;72.27898274799462;50.839367692434;4.047494355898516;2.6085498879906237;24.88333203069338;9.561315619167672;-1.0;51.000230567395796;0.7056024950601674;1.0
;;;23;0.1913328252025773;0.007832825202577304;0.00816717479742271;2020-11-18 11:20:54.644897;2020-11-18 12:20:54.644897;2020-11-18 14:20:54.644897;2020-11-18 15:20:54.644897;2020-11-18 15:12:00;10.49663274356448;85.96777017582018;75.4711374322557;51.01893356837867;3.4145076936102945;4.03799711939852;19.938647791150725;9.442015047586246;-1.0;51.133066065358925;0.6775181586637264;1.0
