Plot_period;Averaging;Ion_masking;Energy_channel;Primary_energy;Energy_error_low;Energy_error_high;Bg_start;Bg_end;Searchstart;Searchend;Peak_timestamp;Background_flux;Flux_peak;Bg_subtracted_peak;Peak_electron_uncertainty;Bg_electron_uncertainty;Peak_significance;Flux_average;Bg_subtracted_average;Average_significance;Backsub_peak_uncertainty;rel_backsub_peak_err;frac_nonan
2020-11-18-0900;Mean;True;0;0.0043233436134547535;0.00023334361345475358;0.0002466563865452468;2020-11-18 12:37:54.335760;2020-11-18 13:37:54.335760;2020-11-18 15:07:54.335760;2020-11-18 16:07:54.335760;2020-11-18 15:08:00;6517039.898333334;7375102.100000001;858062.2016666662;262.2798898423969;47.853729945668;-1.0;2278556.08375;-4238483.814583334;-1.0;266.6096774039772;0.0003107113643814225;1.0
2020-11-18-1700;Resampled to 2min;;1;0.004575183056447031;0.00020518305644703135;0.00021481694355296888;2020-11-18 12:36:18.596628;2020-11-18 13:36:18.596628;2020-11-18 15:06:18.596628;2020-11-18 16:06:18.596628;2020-11-18 15:08:00;5818558.556256945;6136348.425833333;317789.86957638804;289.68751438855753;55.97071414836646;-1.0;1889828.597225063;-3928729.959031882;-1.0;295.04504204425956;0.000928428091296783;1.0
;;;2;0.004760588198951889;0.0002005881989518895;0.00020941180104811028;2020-11-18 12:35:13.044067;2020-11-18 13:35:13.044067;2020-11-18 15:05:13.044067;2020-11-18 16:05:13.044067;2020-11-18 15:06:00;5176449.154625001;5321051.161363636;144602.00673863478;276.0437449136501;55.09380363459591;-1.0;1827972.4971235795;-3348476.657501422;-1.0;281.487968312821;0.0019466394323393095;1.0
;;;3;0.005064316340830221;0.00023431634083022086;0.00024568365916977867;2020-11-18 12:33:33.575950;2020-11-18 13:33:33.575950;2020-11-18 15:03:33.575950;2020-11-18 16:03:33.575950;2020-11-18 15:04:00;4379345.270666665;3722745.6233333335;-656599.6473333319;223.016543746056;44.8764896562843;-1.0;1522682.942477904;-2856662.328188761;-1.0;227.4868745846826;0.00034646207244944766;1.0
;;;4;0.005356631404156907;0.0001866314041569072;0.00019336859584309293;2020-11-18 12:32:05.987538;2020-11-18 13:32:05.987538;2020-11-18 15:02:05.987538;2020-11-18 16:02:05.987538;2020-11-18 15:06:00;3848258.581069445;3166621.924545455;-681636.65652399;251.12761305139642;53.175450107236344;-1.0;1312749.576394255;-2535509.00467519;-1.0;256.69574700605983;0.00037658735713405036;1.0
;;;5;0.005586770086552695;0.00018677008655269486;0.00019322991344730527;2020-11-18 12:31:01.946608;2020-11-18 13:31:01.946608;2020-11-18 15:01:01.946608;2020-11-18 16:01:01.946608;2020-11-18 15:12:00;3450427.622999999;2737161.973125;-713265.6498749992;243.91597349738802;51.16346146822179;-1.0;1220733.0682286932;-2229694.554771306;-1.0;249.2242001022146;0.0003494128732343854;1.0
;;;6;0.005836908428269198;0.00018690842826919827;0.00019309157173080186;2020-11-18 12:29:56.704832;2020-11-18 13:29:56.704832;2020-11-18 14:59:56.704832;2020-11-18 15:59:56.704832;2020-11-18 15:12:00;2872464.753937499;2231742.914375;-640721.839562499;267.87520975730325;55.12099877284066;-1.0;1094499.1347642047;-1777965.6191732944;-1.0;273.48757285886813;0.0004268429074395409;1.0
;;;7;0.0062145635405875446;0.00025456354058754453;0.0002654364594124551;2020-11-18 12:28:25.812288;2020-11-18 13:28:25.812288;2020-11-18 14:58:25.812288;2020-11-18 15:58:25.812288;2020-11-18 15:12:00;2467496.654791667;2144707.05625;-322789.5985416672;248.16059090862566;49.372892694880754;-1.0;950287.3566458335;-1517209.2981458337;-1.0;253.02442849096303;0.0007838679735471757;1.0
;;;8;0.00659754499795189;0.0001775449979518895;0.00018245500204810972;2020-11-18 12:27:01.774463;2020-11-18 13:27:01.774463;2020-11-18 14:57:01.774463;2020-11-18 15:57:01.774463;2020-11-18 14:58:00;1943025.4455468755;1642529.953125;-300495.4924218755;268.5413720220217;52.9821725607334;-1.0;788278.0594016335;-1154747.386145242;-1.0;273.7180649806022;0.0009108890878014251;1.0
;;;9;0.006882514075539548;0.00018251407553954765;0.00018748592446045202;2020-11-18 12:26:03.877696;2020-11-18 13:26:03.877696;2020-11-18 14:56:03.877696;2020-11-18 15:56:03.877696;2020-11-18 15:12:00;1737195.3631640624;1597071.628125;-140123.73503906233;265.5878104637367;50.58418164101428;-1.0;720393.274017667;-1016802.0891463953;-1.0;270.36206187113766;0.0019294522929735548;1.0
;;;10;0.007992058558344027;0.0009420585583440272;0.0010679414416559733;2020-11-18 12:22:48.966830;2020-11-18 13:22:48.966830;2020-11-18 14:52:48.966830;2020-11-18 15:52:48.966830;2020-11-18 14:54:00;1064975.5579261363;1201041.028125;136065.47019886365;153.19082129826884;27.428160543194572;-1.0;540903.1673544034;-524072.3905717329;-1.0;155.62689909145334;0.0011437648277994416;1.0
;;;11;0.009427544749297136;0.00036754474929713565;0.0003824552507028633;2020-11-18 12:19:30.203857;2020-11-18 13:19:30.203857;2020-11-18 14:49:30.203857;2020-11-18 15:49:30.203857;2020-11-18 14:52:00;585093.8211883681;806008.5099479168;220914.6887595487;170.87610832801536;29.47293599608241;-1.0;360587.8753586008;-224505.94582976733;-1.0;173.39924553917993;0.0007849149665548666;1.0
;;;12;0.010027586948014961;0.0002175869480149622;0.00022241305198503897;2020-11-18 12:18:20.175393;2020-11-18 13:18:20.175393;2020-11-18 14:48:20.175393;2020-11-18 15:48:20.175393;2020-11-18 14:50:00;467116.840247396;609642.6452083334;142525.8049609374;187.0209732896384;31.218619717048096;-1.0;304988.5089011995;-162128.33134619647;-1.0;189.60866717331595;0.0013303462290585393;1.0
;;;13;0.010467688379007087;0.00021768837900708674;0.00022231162099291268;2020-11-18 12:17:32.723524;2020-11-18 13:17:32.723524;2020-11-18 14:47:32.723524;2020-11-18 15:47:32.723524;2020-11-18 14:52:00;403855.9949121094;547527.1289062501;143671.13399414072;177.7696667023454;30.24837102763541;-1.0;286860.14925825637;-116995.84565385303;-1.0;180.32475800424209;0.0012551217004495572;1.0
;;;14;0.01118838236743811;0.0004983823674381098;0.0005216176325618903;2020-11-18 12:16:21.212287;2020-11-18 13:16:21.212287;2020-11-18 14:46:21.212287;2020-11-18 15:46:21.212287;2020-11-18 15:14:00;304676.26340755203;442446.04601562495;137769.7826080729;140.58217281694715;23.397799213056828;-1.0;228300.9981962003;-76375.26521135174;-1.0;142.51597918110278;0.0010344502000597027;1.0
;;;15;0.011957386838268635;0.00024738683826863554;0.0002526131617313649;2020-11-18 12:15:12.228993;2020-11-18 13:15:12.228993;2020-11-18 14:45:12.228993;2020-11-18 15:45:12.228993;2020-11-18 15:12:00;230359.36120052083;394743.4283333334;164384.06713281258;156.1332027342302;25.43765557176534;-1.0;194819.45032193026;-35539.91087859057;-1.0;158.19181811028025;0.0009623306009485131;1.0
;;;16;0.012467289200142909;0.0002572892001429083;0.00026271079985709135;2020-11-18 12:14:30.090448;2020-11-18 13:14:30.090448;2020-11-18 14:44:30.090448;2020-11-18 15:44:30.090448;2020-11-18 15:12:00;208630.52266145832;390916.19359375;182285.6709322917;151.90683409577832;24.440171209652206;-1.0;173725.14025130207;-34905.38241015625;-1.0;153.8603529625466;0.0008440616981885351;1.0
;;;17;0.013287780100528456;0.0005577801005284561;0.0005822198994715443;2020-11-18 12:13:27.507462;2020-11-18 13:13:27.507462;2020-11-18 14:43:27.507462;2020-11-18 15:43:27.507462;2020-11-18 15:12:00;150734.07454817707;313470.7125;162736.63795182295;123.81117984314447;18.85335044985254;4.460481447557626;139016.535992513;-11717.538555664069;-1.0;125.23840096925711;0.0007695771680273564;1.0
;;;18;0.014157030055770879;0.0002870300557708781;0.0002929699442291208;2020-11-18 12:12:27.307486;2020-11-18 13:12:27.307486;2020-11-18 14:42:27.307486;2020-11-18 15:42:27.307486;2020-11-18 15:08:00;117096.11478409091;243872.595;126776.48021590909;131.10238528074072;20.441001025085612;3.9521076352975335;115479.31964646466;-1616.79513762625;-1.0;132.6863593185348;0.001046616526129774;1.0
;;;19;0.014766533106995695;0.0003165331069956961;0.00032346689300430387;2020-11-18 12:11:48.347295;2020-11-18 13:11:48.347295;2020-11-18 14:41:48.347295;2020-11-18 15:41:48.347295;2020-11-18 15:08:00;101444.10147700638;200205.06556640624;98760.96408939986;121.50661085914511;18.836167338846874;-1.0;100073.91600514915;-1370.1854718572285;-1.0;122.95795087139653;0.0012450055748756484;1.0
