Plot_period;Averaging;Ion_masking;Energy_channel;Primary_energy;Energy_error_low;Energy_error_high;Bg_start;Bg_end;Searchstart;Searchend;Peak_timestamp;Background_flux;Flux_peak;Bg_subtracted_peak;Peak_electron_uncertainty;Bg_electron_uncertainty;Peak_significance;Flux_average;Bg_subtracted_average;Average_significance;Backsub_peak_uncertainty;rel_backsub_peak_err;frac_nonan
2021-05-21-2000;Mean;True;0;0.0043233436134547535;0.00023334361345475358;0.0002466563865452468;2021-05-21 22:20:28.750682730;2021-05-21 23:20:28.750682730;2021-05-21 23:50:28.750682730;2021-05-22 00:50:28.750682730;2021-05-22 00:20:00;914412.7594933714;7452086.399999999;6537673.640506628;237.8413140744586;26.495074975650784;7.03830395211545;1386123.6785969064;471710.919103535;-1.0;239.3125146719883;3.6605148533147505e-05;1.0
2021-05-22-0300;Resampled to 2min;;1;0.004575183056447031;0.00020518305644703135;0.00021481694355296888;2021-05-21 22:18:48.756478256;2021-05-21 23:18:48.756478256;2021-05-21 23:48:48.756478256;2021-05-22 00:48:48.756478256;2021-05-22 00:16:00;747899.5357419744;5806444.051145833;5058544.515403858;266.77452779426136;29.578445121487366;7.6619557064305805;949210.6204273514;201311.08468537708;-1.0;268.4092641762873;5.3060571743304776e-05;1.0
;;;2;0.004760588198951889;0.0002005881989518895;0.00020941180104811028;2021-05-21 22:17:40.290470309;2021-05-21 23:17:40.290470309;2021-05-21 23:47:40.290470309;2021-05-22 00:47:40.290470309;2021-05-22 00:16:00;659820.0989906724;3474107.6852343753;2814287.586243703;238.25924896378555;29.22775281043719;5.34846607888425;742358.0259494319;82537.92695875955;-1.0;240.04526917049452;8.529521657411306e-05;1.0
;;;3;0.005064316340830221;0.00023431634083022086;0.00024568365916977867;2021-05-21 22:15:56.401547520;2021-05-21 23:15:56.401547520;2021-05-21 23:45:56.401547520;2021-05-22 00:45:56.401547520;2021-05-22 00:16:00;520328.34320737846;2103409.2775000003;1583080.934292622;181.5922589223038;24.193786881360047;3.664382287950861;512206.22021071654;-8122.1229966619285;-1.0;183.1968553883109;0.0001157217242782157;1.0
;;;4;0.005356631404156907;0.0001866314041569072;0.00019336859584309293;2021-05-21 22:14:24.920317685;2021-05-21 23:14:24.920317685;2021-05-21 23:44:24.920317685;2021-05-22 00:44:24.920317685;2021-05-22 00:16:00;463608.91204086185;1217440.1381510417;753831.2261101799;192.51082544714112;28.464530182159574;2.18316727258205;418702.1657159775;-44906.746324884356;-1.0;194.60382162956282;0.00025815303862342196;1.0
;;;5;0.005586770086552695;0.00018677008655269486;0.00019322991344730527;2021-05-21 22:13:18.033124095;2021-05-21 23:13:18.033124095;2021-05-21 23:43:18.033124095;2021-05-22 00:43:18.033124095;2021-05-22 00:20:00;350470.5473025746;799659.1476562502;449188.60035367555;179.88168131084907;26.90327327835917;1.7638007313720225;357005.5209160867;6534.973613512062;-1.0;181.8823943769928;0.0004049132017904838;1.0
;;;6;0.005836908428269198;0.00018690842826919827;0.00019309157173080186;2021-05-21 22:12:09.891713553;2021-05-21 23:12:09.891713553;2021-05-21 23:42:09.891713553;2021-05-22 00:42:09.891713553;2021-05-21 23:56:00;319083.09316513047;693160.400625;374077.30745986954;194.99677464163213;29.221635090558344;1.643571949196239;296162.5957448127;-22920.497420317784;-1.0;197.17415164773809;0.0005270946612255827;1.0
;;;7;0.0062145635405875446;0.00025456354058754453;0.0002654364594124551;2021-05-21 22:10:34.959501214;2021-05-21 23:10:34.959501214;2021-05-21 23:40:34.959501214;2021-05-22 00:40:34.959501214;2021-05-21 23:56:00;243985.79008730783;704480.9543750001;460495.1642876923;187.09464584405268;26.836216946386976;3.204562515284048;270500.5925586805;26514.802471372677;-1.0;189.00949458560288;0.0004104483808814115;1.0
;;;8;0.00659754499795189;0.0001775449979518895;0.00018245500204810972;2021-05-21 22:09:07.186661441;2021-05-21 23:09:07.186661441;2021-05-21 23:39:07.186661441;2021-05-22 00:39:07.186661441;2021-05-21 23:56:00;192953.84471661926;848102.7375000002;655148.8927833809;218.18455434422413;28.47442317027841;6.354473747568181;228382.36817897725;35428.52346235799;-1.0;220.0347530034012;0.0003358545750853519;1.0
;;;9;0.006882514075539548;0.00018251407553954765;0.00018748592446045202;2021-05-21 22:08:06.716705177;2021-05-21 23:08:06.716705177;2021-05-21 23:38:06.716705177;2021-05-22 00:38:06.716705177;2021-05-21 23:56:00;177724.46009392757;746448.416015625;568723.9559216974;214.9456421280737;27.686428300927496;5.858206163917245;208613.61700665843;30889.15691273086;-1.0;216.7214049924749;0.00038106607385870935;1.0
