Plot_period;Averaging;Ion_contamination_correction;Energy_channel;Primary_energy;Energy_error_low;Energy_error_high;Bg_start;Bg_end;Searchstart;Searchend;Peak_timestamp;Background_flux;Flux_peak;Bg_subtracted_peak;Peak_electron_uncertainty;Bg_electron_uncertainty;Peak_significance;Flux_average;Bg_subtracted_average;Average_significance;Backsub_peak_uncertainty;rel_backsub_peak_err;frac_nonan
2021-05-23-0700;Mean;True;0;0.03295087252259035;0.0017508725225903535;0.0018491274774096456;2021-05-23 08:42:03.043651;2021-05-23 09:22:03.043651;2021-05-23 09:42:03.043651;2021-05-23 10:22:03.043651;2021-05-23 10:04:00;6396.965116610336;183134.5603990868;176737.59528247645;8228.8270200932;346.14323042623016;90.84767487217958;71685.7850092656;65288.819892655265;33.56013457643966;8236.104009942192;0.046600747264771696;1.0
2021-05-23-1200;Resampled to 2min;;1;0.03489555845662883;0.0018955584566288305;0.00200444154337117;2021-05-23 08:41:27.517090;2021-05-23 09:21:27.517090;2021-05-23 09:41:27.517090;2021-05-23 10:21:27.517090;2021-05-23 10:04:00;9689.557451959945;213783.74108040525;204094.18362844532;9087.806130822186;434.27786916780434;74.24524852300435;92685.54077891217;82995.98332695222;30.192224486606417;9098.176605180746;0.044578323808306224;1.0
;;;2;0.036364818162614256;0.001564818162614258;0.0016351818373857435;2021-05-23 08:41:02.648188;2021-05-23 09:21:02.648188;2021-05-23 09:41:02.648188;2021-05-23 10:21:02.648188;2021-05-23 10:04:00;6347.447742240206;144762.06027710854;138414.61253486833;6052.174596320398;284.9534158102741;88.57570917100742;64673.16607443253;58325.71833219232;37.3243963882854;6058.879087218024;0.04377340640744646;1.0
;;;3;0.03927849284277593;0.0012784928427759315;0.0013215071572240666;2021-05-23 08:40:17.663207;2021-05-23 09:20:17.663207;2021-05-23 09:40:17.663207;2021-05-23 10:20:17.663207;2021-05-23 10:04:00;5657.3255621227345;103824.7332820517;98167.40771992897;4931.901387756807;258.8107533730798;44.69853303615086;50500.63539307883;44843.309830956096;20.418489318246714;4938.687508298036;0.050308830833020284;1.0
;;;4;0.041879828079876356;0.0012798280798763592;0.0013201719201236459;2021-05-23 08:39:41.675215;2021-05-23 09:19:41.675215;2021-05-23 09:39:41.675215;2021-05-23 10:19:41.675215;2021-05-23 10:04:00;4423.299920035556;81897.76163789454;77474.46171785898;4239.272338028991;221.68004254322378;52.20667487444309;41767.25406394309;37343.95414390753;25.16446877187764;4245.064427925653;0.05479308063326763;1.0
;;;5;0.04452954075667074;0.001329540756670737;0.001370459243329264;2021-05-23 08:39:08.433250;2021-05-23 09:19:08.433250;2021-05-23 09:39:08.433250;2021-05-23 10:19:08.433250;2021-05-23 09:52:00;3575.938912676446;57939.39780911812;54363.458896441676;3483.7500349116276;194.97856328758266;35.62385539151567;34452.225348120905;30876.286435444457;20.232935602912594;3489.2020500235376;0.06418285592662908;1.0
;;;6;0.04776222356632907;0.00186222356632907;0.0019377764336709277;2021-05-23 08:38:31.837184;2021-05-23 09:18:31.837184;2021-05-23 09:38:31.837184;2021-05-23 10:18:31.837184;2021-05-23 09:52:00;3139.606499481411;47756.49711146947;44616.89061198806;2684.395543020293;155.06496533394164;37.04721379529378;28347.86279977467;25208.25630029326;20.93143757338837;2688.8705016904833;0.060265752830566226;1.0
;;;7;0.051468534076656976;0.0017685340766569746;0.0018314659233430244;2021-05-23 08:37:54.380865;2021-05-23 09:17:54.380865;2021-05-23 09:37:54.380865;2021-05-23 10:17:54.380865;2021-05-23 09:52:00;2407.11386927938;45457.52774990529;43050.41388062591;2592.1737818979564;134.58321005859565;58.27125339834078;23239.987699905174;20832.873830625795;28.1985133375542;2595.6651471229547;0.06029361655663638;1.0
;;;8;0.05560035971106662;0.002300359711066617;0.0023996402889333857;2021-05-23 08:37:17.325552;2021-05-23 09:17:17.325552;2021-05-23 09:37:17.325552;2021-05-23 10:17:17.325552;2021-05-23 09:50:00;1928.2791370907719;38084.85742777546;36156.57829068469;2086.0572928466727;106.02729482286038;53.35760765343445;18711.304225590815;16783.025088500042;24.767334472594374;2088.7500607507454;0.05776957221886472;1.0
;;;9;0.06030422870744639;0.0023042287074463846;0.002395771292553618;2021-05-23 08:36:40.096232;2021-05-23 09:16:40.096232;2021-05-23 09:36:40.096232;2021-05-23 10:16:40.096232;2021-05-23 09:50:00;1668.3942132153213;27456.944824206817;25788.550610991497;1745.8932227547286;97.30350623051018;33.45615485480031;15014.538320515156;13346.144107299835;17.314298531302256;1748.6026185459186;0.06780538561173097;1.0
;;;10;0.06495929494691272;0.00225929494691271;0.002340705053087283;2021-05-23 08:36:07.521725;2021-05-23 09:16:07.521725;2021-05-23 09:36:07.521725;2021-05-23 10:16:07.521725;2021-05-23 09:48:00;1160.5019423695999;20205.306103124803;19044.804160755204;1483.9594883839463;80.71736118486176;34.936798319063726;12219.162692754875;11058.660750385276;20.286593500987504;1486.1531063660268;0.07803457015475526;1.0
;;;11;0.07014007413740023;0.002840074137400228;0.0029599258625997715;2021-05-23 08:35:35.371415;2021-05-23 09:15:35.371415;2021-05-23 09:35:35.371415;2021-05-23 10:15:35.371415;2021-05-23 09:50:00;1027.3221744768748;16522.45418437627;15495.132009899397;1207.5052526367197;68.38140125800196;43.050144874220265;9931.266364399204;8903.94418992233;24.737839411967478;1209.4399328545737;0.07805289636008891;1.0
;;;12;0.0758965084835923;0.002796508483592308;0.0029034915164076885;2021-05-23 08:35:03.821623;2021-05-23 09:15:03.821623;2021-05-23 09:35:03.821623;2021-05-23 10:15:03.821623;2021-05-23 09:44:00;750.9448022643741;15555.513286915424;14804.56848465105;1165.159992927307;58.4473171696233;57.28103705823009;7896.890677839107;7145.945875574734;27.648707960605634;1166.6250031619795;0.0788016891118105;1.0
;;;13;0.08212965359722393;0.003329653597223939;0.0034703464027760617;2021-05-23 08:34:33.719588;2021-05-23 09:14:33.719588;2021-05-23 09:34:33.719588;2021-05-23 10:14:33.719588;2021-05-23 09:40:00;559.9880302258267;10858.427214191322;10298.439183965496;895.4139238659644;46.72883365468955;55.500540354320684;5711.026151570843;5151.0381213450155;27.760070629486478;896.6324101591302;0.08706488373065041;1.0
;;;14;0.08941498755801512;0.003814987558015126;0.003985012441984875;2021-05-23 08:34:02.890839;2021-05-23 09:14:02.890839;2021-05-23 09:34:02.890839;2021-05-23 10:14:02.890839;2021-05-23 09:38:00;421.1172587436578;7387.5363492153465;6966.419090471689;683.6110770972443;37.799182668630074;39.73130943469383;3974.440942516749;3553.3236837730915;20.265533980680427;684.6553022802576;0.09827937328902507;1.0
;;;15;0.09717376189074908;0.003773761890749086;0.003926238109250912;2021-05-23 08:33:34.241796;2021-05-23 09:13:34.241796;2021-05-23 09:33:34.241796;2021-05-23 10:13:34.241796;2021-05-23 09:38:00;333.75444361954453;6813.281253456977;6479.526809837432;656.1257827515341;33.88898972216971;28.534112989193094;2785.4163232729857;2451.6618796534412;10.79646695482752;657.0003853999651;0.10139635264761702;1.0
