Plot_period;Averaging;Ion_masking;Energy_channel;Primary_energy;Energy_error_low;Energy_error_high;Bg_start;Bg_end;Searchstart;Searchend;Peak_timestamp;Background_flux;Flux_peak;Bg_subtracted_peak;Peak_electron_uncertainty;Bg_electron_uncertainty;Peak_significance;Flux_average;Bg_subtracted_average;Average_significance;Backsub_peak_uncertainty;rel_backsub_peak_err;frac_nonan
2021-07-23-2200;Mean;True;0;0.0043233436134547535;0.00023334361345475358;0.0002466563865452468;2021-07-23 23:02:45.505914722;2021-07-24 00:02:45.505914722;2021-07-24 01:02:45.505914722;2021-07-24 02:02:45.505914722;2021-07-24 01:40:00;242544.7479507575;7622784.899999999;7380240.152049242;254.47563142634667;24.00340130527992;195.3185990496073;2635384.3744270825;2392839.626476325;63.32667690548928;255.6051843450366;3.463372181378999e-05;1.0
2021-07-24-0300;Resampled to 2min;;1;0.004575183056447031;0.00020518305644703135;0.00021481694355296888;2021-07-23 23:01:18.276927840;2021-07-24 00:01:18.276927840;2021-07-24 01:01:18.276927840;2021-07-24 02:01:18.276927840;2021-07-24 01:40:00;221275.7021851378;6309866.890833333;6088591.188648195;284.57170675143414;25.90887402960261;109.70173082070443;2171059.69821875;1949783.996033612;35.13040578092848;285.748711347761;4.6931827494104375e-05;1.0
;;;2;0.004760588198951889;0.0002005881989518895;0.00020941180104811028;2021-07-23 23:00:18.551261334;2021-07-24 00:00:18.551261334;2021-07-24 01:00:18.551261334;2021-07-24 02:00:18.551261334;2021-07-24 01:40:00;207224.76316465435;5453323.9425;5246099.1793353455;283.59477447277806;25.08708067239598;117.28375637236707;1999395.8981171872;1792171.1349525328;40.066448533287506;284.7022264137201;5.426931834136434e-05;1.0
;;;3;0.005064316340830221;0.00023431634083022086;0.00024568365916977867;2021-07-23 22:58:47.924754219;2021-07-23 23:58:47.924754219;2021-07-24 00:58:47.924754219;2021-07-24 01:58:47.924754219;2021-07-24 01:40:00;165214.42353005055;5236536.378333334;5071321.954803283;237.7839598596831;21.66098325163454;207.19954647962467;1783432.8534062502;1618218.4298761997;66.11572441338423;238.76852757844568;4.708210792105143e-05;1.0
;;;4;0.005356631404156907;0.0001866314041569072;0.00019336859584309293;2021-07-23 22:57:28.121979257;2021-07-23 23:57:28.121979257;2021-07-24 00:57:28.121979257;2021-07-24 01:57:28.121979257;2021-07-24 01:40:00;181390.62695432708;3758102.403333334;3576711.776379007;270.89822790639266;24.91046801844849;79.7492760642946;1509974.1059930555;1328583.4790387284;29.62317829019643;272.0411389840184;7.60590050281959e-05;1.0
;;;5;0.005586770086552695;0.00018677008655269486;0.00019322991344730527;2021-07-23 22:56:29.773576338;2021-07-23 23:56:29.773576338;2021-07-24 00:56:29.773576338;2021-07-24 01:56:29.773576338;2021-07-24 01:40:00;151306.45462789925;3740816.95875;3589510.504122101;260.87744870867283;23.811704517294196;123.10939864801952;1404309.0345820314;1253002.5799541322;42.97421443548533;261.9619066138532;7.297984121038871e-05;1.0
;;;6;0.005836908428269198;0.00018690842826919827;0.00019309157173080186;2021-07-23 22:55:30.331069269;2021-07-23 23:55:30.331069269;2021-07-24 00:55:30.331069269;2021-07-24 01:55:30.331069269;2021-07-24 01:40:00;124447.95879496004;3066745.459375;2942297.5005800403;290.77858803668954;26.18775433196087;89.71376616459708;1231799.9078975692;1107351.9491026092;33.76433341771782;291.9554516318576;9.922703315157693e-05;1.0
;;;7;0.0062145635405875446;0.00025456354058754453;0.0002654364594124551;2021-07-23 22:54:07.517862761;2021-07-23 23:54:07.517862761;2021-07-24 00:54:07.517862761;2021-07-24 01:54:07.517862761;2021-07-24 01:40:00;105060.09790538195;2534752.5225;2429692.424594618;256.0848480703314;24.69441047558479;133.15966737052037;1095479.1610182293;990419.0631128474;54.28006922461938;257.2727411132812;0.0001058869585750986;1.0
;;;8;0.00659754499795189;0.0001775449979518895;0.00018245500204810972;2021-07-23 22:52:50.950066363;2021-07-23 23:52:50.950066363;2021-07-24 00:52:50.950066363;2021-07-24 01:52:50.950066363;2021-07-24 01:40:00;100939.70119046772;2169369.02109375;2068429.3199032822;284.6008470925773;25.82945775568961;92.370190919369;918354.600955078;817414.8997646103;36.503432640920245;285.7705426627551;0.00013815823432444742;1.0
;;;9;0.006882514075539548;0.00018251407553954765;0.00018748592446045202;2021-07-23 22:51:58.199678984;2021-07-23 23:51:58.199678984;2021-07-24 00:51:58.199678984;2021-07-24 01:51:58.199678984;2021-07-24 01:40:00;86993.8681813743;1877425.6218750002;1790431.7536936258;275.01941240277614;25.213114923916656;73.92079037486185;847821.9564777167;760828.0882963424;31.411984014602456;276.17273283677895;0.00015424923751884985;1.0
