Plot_period;Averaging;Ion_contamination_correction;Energy_channel;Primary_energy;Energy_error_low;Energy_error_high;Bg_start;Bg_end;Searchstart;Searchend;Peak_timestamp;Background_flux;Flux_peak;Bg_subtracted_peak;Peak_electron_uncertainty;Bg_electron_uncertainty;Peak_significance;Flux_average;Bg_subtracted_average;Average_significance;Backsub_peak_uncertainty;rel_backsub_peak_err;frac_nonan
2021-08-24-0900;Mean;True;0;0.03295087252259035;0.0017508725225903535;0.0018491274774096456;2021-08-24 10:35:31.734670273;2021-08-24 11:05:31.734670273;2021-08-24 12:05:31.734670273;2021-08-24 12:35:31.734670273;2021-08-24 12:18:00;409.1526734492572;1840.9228442864348;1431.7701708371776;826.2092491691935;101.57699523453599;4.652511330624426;412.4896709352558;3.3369974859986087;-1.0;832.4299426219599;0.5813991376389868;1.0
2021-08-24-1500;Resampled to 2min;;1;0.03489555845662883;0.0018955584566288305;0.00200444154337117;2021-08-24 10:35:07.800986935;2021-08-24 11:05:07.800986935;2021-08-24 12:05:07.800986935;2021-08-24 12:35:07.800986935;2021-08-24 12:20:00;531.9515455382449;1917.3015592828904;1385.3500137446454;863.3892342189284;117.96707439904209;3.974072775690458;612.0231432826579;80.071597744413;-1.0;871.4110398700585;0.6290186820835311;1.0
;;;2;0.036364818162614256;0.001564818162614258;0.0016351818373857435;2021-08-24 10:34:51.047200643;2021-08-24 11:04:51.047200643;2021-08-24 12:04:51.047200643;2021-08-24 12:34:51.047200643;2021-08-24 12:22:00;362.6832047791142;1008.1697252107643;645.4865204316502;505.6686793620163;79.07339286320884;2.147707012777392;399.104789790178;36.421585011063826;-1.0;511.8138477480118;0.7929117519073076;1.0
;;;3;0.03927849284277593;0.0012784928427759315;0.0013215071572240666;2021-08-24 10:34:20.741528706;2021-08-24 11:04:20.741528706;2021-08-24 12:04:20.741528706;2021-08-24 12:34:20.741528706;2021-08-24 12:24:00;273.8122533148957;935.252061476647;661.4398081617512;468.113084127579;66.21391844103958;3.6832055928689003;385.327395969219;111.51514265432331;-1.0;472.77282338005693;0.714763184111899;1.0
;;;4;0.041879828079876356;0.0012798280798763592;0.0013201719201236459;2021-08-24 10:33:56.496986705;2021-08-24 11:03:56.496986705;2021-08-24 12:03:56.496986705;2021-08-24 12:33:56.496986705;2021-08-24 12:32:00;314.60551473104186;644.647831751627;330.04231702058513;379.74143875856674;68.55550343465003;1.5271992183335101;214.999885732803;-99.60562899823887;-1.0;385.8800556670487;1.1691835736415004;1.0
;;;5;0.04452954075667074;0.001329540756670737;0.001370459243329264;2021-08-24 10:33:34.102399972;2021-08-24 11:03:34.102399972;2021-08-24 12:03:34.102399972;2021-08-24 12:33:34.102399972;2021-08-24 12:28:00;216.87097313792518;627.9238823858412;411.0529092479161;362.54788515547136;55.82937223736986;1.7799592253647285;330.9719738349889;114.10100069706371;-1.0;366.821329580388;0.8923944371335153;1.0
;;;6;0.04776222356632907;0.00186222356632907;0.0019377764336709277;2021-08-24 10:33:09.448208424;2021-08-24 11:03:09.448208424;2021-08-24 12:03:09.448208424;2021-08-24 12:33:09.448208424;2021-08-24 12:30:00;104.97883919699157;1054.3486045024406;949.369765305449;398.90004873510014;33.35123889219065;8.852197109088252;308.11744934496295;203.13861014797138;1.894122904701436;400.29183606027897;0.4216395451897392;1.0
;;;7;0.051468534076656976;0.0017685340766569746;0.0018314659233430244;2021-08-24 10:32:44.214477454;2021-08-24 11:02:44.214477454;2021-08-24 12:02:44.214477454;2021-08-24 12:32:44.214477454;2021-08-24 12:30:00;83.55654021465283;442.24576810624694;358.6892278915941;255.8283970079596;29.554150678283857;3.2987653425313814;134.68755133565847;51.13101112100564;-1.0;257.52983620927677;0.7179748266293335;1.0
;;;8;0.05560035971106662;0.002300359711066617;0.0023996402889333857;2021-08-24 10:32:19.250898368;2021-08-24 11:02:19.250898368;2021-08-24 12:02:19.250898368;2021-08-24 12:32:19.250898368;2021-08-24 12:16:00;63.925654183090366;449.5201328712156;385.5944786881252;228.3251908742368;22.843193660882147;3.7093182987530344;164.53576588723217;100.61011170414181;0.967843029426793;229.46503935106375;0.5950942039724034;1.0
;;;9;0.06030422870744639;0.0023042287074463846;0.002395771292553618;2021-08-24 10:31:54.170093284;2021-08-24 11:01:54.170093284;2021-08-24 12:01:54.170093284;2021-08-24 12:31:54.170093284;2021-08-24 12:30:00;39.89854337079338;331.9951511585226;292.0966077877292;192.0208868732727;18.121364097214112;5.134207645415813;108.30528198746639;68.40673861667301;1.2023912330365583;192.87406469596164;0.6603091564696498;1.0
;;;10;0.06495929494691272;0.00225929494691271;0.002340705053087283;2021-08-24 10:31:32.225162127;2021-08-24 11:01:32.225162127;2021-08-24 12:01:32.225162127;2021-08-24 12:31:32.225162127;2021-08-24 12:26:00;39.3873690073725;433.8122745044086;394.4249054970361;217.61907311997228;17.784017824658413;5.802124136919586;186.222399513687;146.83503050631452;2.1599931007714046;218.34452655283945;0.5535769255688653;1.0
;;;11;0.07014007413740023;0.002840074137400228;0.0029599258625997715;2021-08-24 10:31:10.566005865;2021-08-24 11:01:10.566005865;2021-08-24 12:01:10.566005865;2021-08-24 12:31:10.566005865;2021-08-24 12:22:00;66.40956556650931;174.19298383305835;107.78341826654903;124.55139850118083;20.35082543105621;1.577923453162484;44.65620657639612;-21.753358990113192;-1.0;126.20303864933393;1.1708947505935752;1.0
;;;12;0.0758965084835923;0.002796508483592308;0.0029034915164076885;2021-08-24 10:30:49.311409116;2021-08-24 11:00:49.311409116;2021-08-24 12:00:49.311409116;2021-08-24 12:30:49.311409116;2021-08-24 12:28:00;59.97616325689708;348.33807030671494;288.3619070498179;174.1717285985473;19.26867497995427;2.716385727413261;50.026943435806885;-9.949219821090196;-1.0;175.23433704182847;0.6076889240837026;1.0
;;;13;0.08212965359722393;0.003329653597223939;0.0034703464027760617;2021-08-24 10:30:29.032143228;2021-08-24 11:00:29.032143228;2021-08-24 12:00:29.032143228;2021-08-24 12:30:29.032143228;2021-08-24 12:28:00;40.33814372625938;220.79231060244143;180.45416687618206;127.47740895309441;14.73697773340868;2.6891578235694573;37.06718841546344;-3.270955310795941;-1.0;128.32641312726489;0.7111302296239885;1.0
;;;14;0.08941498755801512;0.003814987558015126;0.003985012441984875;2021-08-24 10:30:08.263302241;2021-08-24 11:00:08.263302241;2021-08-24 12:00:08.263302241;2021-08-24 12:30:08.263302241;2021-08-24 12:30:00;29.83611548596955;188.53804106792057;158.70192558195103;108.9918515567098;11.886350429769864;2.770221062491445;56.59784542942578;26.76172994345623;-1.0;109.63808203493508;0.6908427962225311;1.0
;;;15;0.09717376189074908;0.003773761890749086;0.003926238109250912;2021-08-24 10:29:48.962894002;2021-08-24 10:59:48.962894002;2021-08-24 11:59:48.962894002;2021-08-24 12:29:48.962894002;2021-08-24 12:20:00;46.342047103307046;183.19535126030885;136.85330415700182;108.90314209634855;14.531629379593106;1.9152019740287913;43.63369710162511;-2.7083500016819357;-1.0;109.86838767763608;0.8028186703595559;1.0
;;;16;0.10588668471531253;0.004786684715312531;0.005013315284687472;2021-08-24 10:29:30.079820127;2021-08-24 10:59:30.079820127;2021-08-24 11:59:30.079820127;2021-08-24 12:29:30.079820127;2021-08-24 12:04:00;12.504569640518026;99.44908142893095;86.94451178841292;70.32529309190937;7.455609069545529;2.842369940917471;27.29646957890392;14.791899938385894;0.4835733836339773;70.71939589010108;0.8133853929987314;1.0
;;;17;0.11521601451187244;0.00431601451187244;0.004483985488127562;2021-08-24 10:29:12.497235466;2021-08-24 10:59:12.497235466;2021-08-24 11:59:12.497235466;2021-08-24 12:29:12.497235466;2021-08-24 12:28:00;21.309973685849243;108.84539233208626;87.53541864623702;76.96652020105154;9.634935759826975;3.09177494090048;33.73203057474104;12.422056888891795;-1.0;77.56724320842443;0.8861240902028735;1.0
;;;18;0.1249833988976136;0.005283398897613603;0.005516601102386401;2021-08-24 10:28:56.444826717;2021-08-24 10:58:56.444826717;2021-08-24 11:58:56.444826717;2021-08-24 12:28:56.444826717;2021-08-24 12:12:00;13.518471375022743;43.493581509377876;29.975110134355134;44.349187960869195;7.2942253585008965;1.3598629462063954;12.149143330047222;-1.3693280449755214;-1.0;44.945035280541305;1.4994118479994778;1.0
;;;19;0.13627233761846166;0.005772337618461659;0.006027662381538346;2021-08-24 10:28:40.309853592;2021-08-24 10:58:40.309853592;2021-08-24 11:58:40.309853592;2021-08-24 12:28:40.309853592;2021-08-24 12:24:00;6.477080016167194;116.5833275660641;110.1062475498969;69.60339170399756;5.424773812749503;4.432763391684334;29.47323119022828;22.996151174061087;0.9258012087626734;69.81447061762776;0.6340645710043828;1.0
;;;20;0.14808251078368437;0.005782510783684358;0.006017489216315619;2021-08-24 10:28:25.666337141;2021-08-24 10:58:25.666337141;2021-08-24 11:58:25.666337141;2021-08-24 12:28:25.666337141;2021-08-24 12:04:00;6.224648454520197;79.34908057586762;73.12443212134743;56.1088989292898;5.371888838754098;3.9726509169963085;10.525802045965456;4.301153591445259;-1.0;56.365465745908544;0.7708157740270999;1.0
;;;21;0.16085207490113393;0.006752074901133942;0.007047925098866065;2021-08-24 10:28:11.903244492;2021-08-24 10:58:11.903244492;2021-08-24 11:58:11.903244492;2021-08-24 12:28:11.903244492;2021-08-24 12:00:00;11.574642824710756;58.68700830431231;47.11236547960155;48.29539474194283;6.051433747110553;2.1092829545417664;10.955041650323363;-0.6196011743873928;-1.0;48.67304185764176;1.0331266826055665;1.0
;;;22;0.1755267785837819;0.007626778583781912;0.00797322141621809;2021-08-24 10:27:58.220247422;2021-08-24 10:57:58.220247422;2021-08-24 11:57:58.220247422;2021-08-24 12:27:58.220247422;2021-08-24 12:02:00;7.423050560219267;25.678562918309655;18.25551235809039;29.523761975428318;4.872602943280385;0.9065134770892634;1.3898433996489425;-6.033207160570325;-1.0;29.923147906338524;1.6391294486499213;1.0
;;;23;0.1913328252025773;0.007832825202577304;0.00816717479742271;2021-08-24 10:27:45.525259765;2021-08-24 10:57:45.525259765;2021-08-24 11:57:45.525259765;2021-08-24 12:27:45.525259765;2021-08-24 12:26:00;1.704793113380759;29.387137010158458;27.6823438967777;29.425635398680914;3.510808863558069;2.2065056623051755;3.5339416935304446;1.8291485801496856;0.1457978672018289;29.634334773916237;1.0705139306273035;1.0
;;;24;0.2085927851101279;0.009092785110127899;0.009507214889872079;2021-08-24 10:27:33.591803025;2021-08-24 10:57:33.591803025;2021-08-24 11:57:33.591803025;2021-08-24 12:27:33.591803025;2021-08-24 12:08:00;7.519912004301795;44.602796571789874;37.08288456748808;34.67761168227763;4.390361070871208;2.408524541760055;7.663453822354416;0.14354181805262112;-1.0;34.954427792762665;0.9426027182202673;1.0
;;;25;0.22740164907053773;0.009301649070537737;0.00969835092946228;2021-08-24 10:27:22.415427869;2021-08-24 10:57:22.415427869;2021-08-24 11:57:22.415427869;2021-08-24 12:27:22.415427869;2021-08-24 12:24:00;3.0223748870257245;48.22141064414598;45.19903575712026;34.463190574568095;3.375740362292051;2.3586595399459926;4.6682479791927385;1.645873092167014;-1.0;34.628126249807494;0.7661253314314893;1.0
;;;26;0.2472334524290756;0.010133452429075596;0.010566547570924373;2021-08-24 10:27:12.279102464;2021-08-24 10:57:12.279102464;2021-08-24 11:57:12.279102464;2021-08-24 12:27:12.279102464;2021-08-24 12:00:00;8.74628283430509;39.82257918445606;31.07629635015097;30.967791121911425;4.175582407800862;2.161514038475555;8.635249862844848;-0.11103297146024182;-1.0;31.24803314473844;1.0055262954327773;1.0
;;;27;0.2694851758446093;0.011685175844609319;0.012214824155390713;2021-08-24 10:27:02.511381765;2021-08-24 10:57:02.511381765;2021-08-24 11:57:02.511381765;2021-08-24 12:27:02.511381765;2021-08-24 12:14:00;4.178204858825166;36.19949350817272;32.021288649347554;27.17471822240084;2.9249196316139776;3.52598118296126;5.147811951085761;0.9696070922605955;-1.0;27.331675128288154;0.8535470082914682;1.0
;;;28;0.29364667544516826;0.011946675445168253;0.012453324554831724;2021-08-24 10:26:53.436851527;2021-08-24 10:56:53.436851527;2021-08-24 11:56:53.436851527;2021-08-24 12:26:53.436851527;2021-08-24 11:58:00;5.963974454218415;37.946852804608874;31.982878350390457;26.83313599712902;3.158142389402593;2.295818364537303;7.852739922547728;1.8887654683293125;-1.0;27.01834655918387;0.844775328323569;1.0
;;;29;0.3196979668374511;0.013597966837451125;0.014202033162548866;2021-08-24 10:26:45.071986929;2021-08-24 10:56:45.071986929;2021-08-24 11:56:45.071986929;2021-08-24 12:26:45.071986929;2021-08-24 12:12:00;14.606168406297899;34.61563891336283;20.009470507064933;26.259712865956956;4.486792444036999;1.2844885370018702;6.459351289837691;-8.146817116460209;-1.0;26.640267007640386;1.3313829068207605;1.0
;;;30;0.34962950390377523;0.015729503903775255;0.01647049609622475;2021-08-24 10:26:36.899375330;2021-08-24 10:56:36.899375330;2021-08-24 11:56:36.899375330;2021-08-24 12:26:36.899375330;2021-08-24 12:22:00;2.203374940799243;18.89044952392578;16.687074583126538;18.890450032552085;2.282747756620779;1.8161705859702146;0.21253886356645618;-1.9908360772327869;-1.0;19.02787533469526;1.1402762802975466;1.0
;;;31;0.38214825657066653;0.016048256570666553;0.016751743429333443;2021-08-24 10:26:29.392884016;2021-08-24 10:56:29.392884016;2021-08-24 11:56:29.392884016;2021-08-24 12:26:29.392884016;2021-08-24 12:18:00;1.2118219008233633;43.364462089545455;42.15264018872209;30.977453604630746;2.226746553434792;4.549348408841528;3.2748954803897736;2.06307357956641;0.2226584257712656;31.057382891033882;0.7367838112153;1.0
;;;32;0.41646334772702387;0.017563347727023892;0.01833665227297615;2021-08-24 10:26:22.689090140;2021-08-24 10:56:22.689090140;2021-08-24 11:56:22.689090140;2021-08-24 12:26:22.689090140;2021-08-24 11:58:00;4.848373870479914;24.959814071655273;20.11144020117536;24.959814453125;3.4247650848600175;1.7788522458207627;2.2487180023333897;-2.5996558681465247;-1.0;25.19367685394301;1.2527037647194772;1.0
;;;33;0.4527302949880867;0.01793029498808668;0.018669705011913285;2021-08-24 10:26:16.674985533;2021-08-24 10:56:16.674985533;2021-08-24 11:56:16.674985533;2021-08-24 12:26:16.674985533;2021-08-24 11:58:00;2.245275162759228;0.0;-2.245275162759228;0.0;3.099523154504302;-1.0;-1.2233963655409756;-3.468671528300203;-1.0;3.099523154504302;1.380464722504339;1.0
