Plot_period;Averaging;Ion_contamination_correction;Energy_channel;Primary_energy;Energy_error_low;Energy_error_high;Bg_start;Bg_end;Searchstart;Searchend;Peak_timestamp;Background_flux;Flux_peak;Bg_subtracted_peak;Peak_electron_uncertainty;Bg_electron_uncertainty;Peak_significance;Flux_average;Bg_subtracted_average;Average_significance;Backsub_peak_uncertainty;rel_backsub_peak_err;frac_nonan
2021-08-24-0900;Mean;True;0;0.03295087252259035;0.0017508725225903535;0.0018491274774096456;2021-08-24 10:45:31.734670273;2021-08-24 11:15:31.734670273;2021-08-24 12:45:31.734670273;2021-08-24 13:15:31.734670273;2021-08-24 13:04:00;337.1475735126248;2585.5007011063926;2248.353127593768;977.5621189464924;92.17700192892474;7.6214118945208575;831.0786572514934;493.9310837388686;1.6743153868848806;981.8983124966461;0.43671890347024495;1.0
2021-08-24-1500;Resampled to 2min;;1;0.03489555845662883;0.0018955584566288305;0.00200444154337117;2021-08-24 10:45:07.800986935;2021-08-24 11:15:07.800986935;2021-08-24 12:45:07.800986935;2021-08-24 13:15:07.800986935;2021-08-24 13:14:00;507.78950612296916;2701.806357085306;2194.016850962337;1021.5323091531326;115.12128194906569;4.386026727238587;1049.3787682237821;541.5892621008129;1.0826831059741788;1027.9986226650926;0.4685463660929465;1.0
;;;2;0.036364818162614256;0.001564818162614258;0.0016351818373857435;2021-08-24 10:44:51.047200643;2021-08-24 11:14:51.047200643;2021-08-24 12:44:51.047200643;2021-08-24 13:14:51.047200643;2021-08-24 12:56:00;145.11396183524838;1006.7389678715042;861.6250060362559;505.6835478497898;50.58179629836584;4.095496239373448;365.2234968550502;220.10953501980183;1.046229817621965;508.2070136103201;0.5898238909618363;1.0
;;;3;0.03927849284277593;0.0012784928427759315;0.0013215071572240666;2021-08-24 10:44:20.741528706;2021-08-24 11:14:20.741528706;2021-08-24 12:44:20.741528706;2021-08-24 13:14:20.741528706;2021-08-24 13:04:00;275.14648845949824;935.3194399400527;660.1729514805545;468.1130491510045;66.21004589524253;3.0145915096890885;478.79111995861734;203.6446314991191;-1.0;472.77224639661415;0.7161339242032544;1.0
;;;4;0.041879828079876356;0.0012798280798763592;0.0013201719201236459;2021-08-24 10:43:56.496986705;2021-08-24 11:13:56.496986705;2021-08-24 12:43:56.496986705;2021-08-24 13:13:56.496986705;2021-08-24 13:00:00;243.6168411336115;876.7977674513992;633.1809263177877;438.41188228280834;60.26110764575188;2.1391244313730127;667.8919918074909;424.27515067387935;1.4333617812982835;442.53404346044147;0.6989061499909075;1.0
;;;5;0.04452954075667074;0.001329540756670737;0.001370459243329264;2021-08-24 10:43:34.102399972;2021-08-24 11:13:34.102399972;2021-08-24 12:43:34.102399972;2021-08-24 13:13:34.102399972;2021-08-24 13:06:00;316.4052543981722;1251.822693765281;935.4174393671087;512.7363713153707;66.92887756080387;3.2754086805888276;623.8753052148581;307.47005081668595;-1.0;517.0861254386958;0.5527864926150506;1.0
;;;6;0.04776222356632907;0.00186222356632907;0.0019377764336709277;2021-08-24 10:43:09.448208424;2021-08-24 11:13:09.448208424;2021-08-24 12:43:09.448208424;2021-08-24 13:13:09.448208424;2021-08-24 13:12:00;126.75038476996724;746.8519179403698;620.1015331704026;337.1575799375228;36.248372854565346;4.1504497298199725;307.99852635039355;181.2481415804263;1.2131260124559837;339.10054297203754;0.5468468062614086;1.0
;;;7;0.051468534076656976;0.0017685340766569746;0.0018314659233430244;2021-08-24 10:42:44.214477454;2021-08-24 11:12:44.214477454;2021-08-24 12:42:44.214477454;2021-08-24 13:12:44.214477454;2021-08-24 12:56:00;55.536065634013184;884.0140366193081;828.4779709852949;361.8004195990401;24.129414804564462;11.180459993336617;321.6835351643413;266.1474695303281;3.5917082163002094;362.604153700495;0.43767506970554204;1.0
;;;8;0.05560035971106662;0.002300359711066617;0.0023996402889333857;2021-08-24 10:42:19.250898368;2021-08-24 11:12:19.250898368;2021-08-24 12:42:19.250898368;2021-08-24 13:12:19.250898368;2021-08-24 13:00:00;80.5369882477145;456.5585376137593;376.02154936604484;228.28551466220608;25.245674873971076;3.4246662060764126;194.916194008371;114.3792057606565;1.041723808932725;229.67720893556364;0.6108086340338444;1.0
;;;9;0.06030422870744639;0.0023042287074463846;0.002395771292553618;2021-08-24 10:41:54.170093284;2021-08-24 11:11:54.170093284;2021-08-24 12:41:54.170093284;2021-08-24 13:11:54.170093284;2021-08-24 12:46:00;70.39053438624052;663.2990722869203;592.9085379006797;271.5609280804781;23.381757748602627;7.410941556985913;204.18193499752795;133.79140061128743;1.6722988241461851;272.56566961990086;0.45970946983657596;1.0
