Plot_period;Averaging;Ion_contamination_correction;Energy_channel;Primary_energy;Energy_error_low;Energy_error_high;Bg_start;Bg_end;Searchstart;Searchend;Peak_timestamp;Background_flux;Flux_peak;Bg_subtracted_peak;Peak_electron_uncertainty;Bg_electron_uncertainty;Peak_significance;Flux_average;Bg_subtracted_average;Average_significance;Backsub_peak_uncertainty;rel_backsub_peak_err;frac_nonan
2021-08-24-0900;Mean;True;0;0.03295087252259035;0.0017508725225903535;0.0018491274774096456;2021-08-24 10:35:31.734670273;2021-08-24 11:05:31.734670273;2021-08-24 12:05:31.734670273;2021-08-24 12:35:31.734670273;2021-08-24 12:20:00;386.21328368977066;2216.901611328125;1830.6883276383544;1279.9287760416667;98.54148064200577;3.2012461118045774;263.3905550181554;-122.82272867161527;-1.0;1283.7165166603713;0.7012206814670666;1.0
2021-08-24-1500;Resampled to 1min;;1;0.03489555845662883;0.0018955584566288305;0.00200444154337117;2021-08-24 10:35:07.800986935;2021-08-24 11:05:07.800986935;2021-08-24 12:05:07.800986935;2021-08-24 12:35:07.800986935;2021-08-24 12:17:00;507.6190945738799;3088.730024352218;2581.1109297783382;1544.4110704483658;115.12242237539189;3.9557163254325345;559.479690533222;51.86059595934205;-1.0;1548.695814760615;0.6000113350004738;1.0
;;;2;0.036364818162614256;0.001564818162614258;0.0016351818373857435;2021-08-24 10:34:51.047200643;2021-08-24 11:04:51.047200643;2021-08-24 12:04:51.047200643;2021-08-24 12:34:51.047200643;2021-08-24 12:18:00;279.05318710862116;1516.9116084925008;1237.8584213838797;875.8347691651886;69.51133448904292;3.3464640797645715;246.87572356981136;-32.1774635388098;-1.0;878.5888506583082;0.70976521666838;1.0
;;;3;0.03927849284277593;0.0012784928427759315;0.0013215071572240666;2021-08-24 10:34:20.741528706;2021-08-24 11:04:20.741528706;2021-08-24 12:04:20.741528706;2021-08-24 12:34:20.741528706;2021-08-24 12:05:00;258.71579029791087;936.224365234375;677.5085749364641;662.0106119791667;64.34791256929823;1.7677967619655492;291.31570034567306;32.599910047762194;-1.0;665.130591857762;0.9817301455116448;1.0
;;;4;0.041879828079876356;0.0012798280798763592;0.0013201719201236459;2021-08-24 10:33:56.496986705;2021-08-24 11:03:56.496986705;2021-08-24 12:03:56.496986705;2021-08-24 12:33:56.496986705;2021-08-24 12:20:00;213.0778537021599;876.8237915039062;663.7459378017463;620.0080078125;56.610469985159966;2.395545563657694;156.2135155994041;-56.864338102755795;-1.0;622.5870823134428;0.9379900453709485;1.0
;;;5;0.04452954075667074;0.001329540756670737;0.001370459243329264;2021-08-24 10:33:34.102399972;2021-08-24 11:03:34.102399972;2021-08-24 12:03:34.102399972;2021-08-24 12:33:34.102399972;2021-08-24 12:07:00;133.81416404304795;837.2684936523438;703.4543296092958;592.0382161458333;44.140832720398706;2.7675489168017693;163.2230763376577;29.408912294609735;-1.0;593.6814486661939;0.8439516592298598;1.0
;;;6;0.04776222356632907;0.00186222356632907;0.0019377764336709277;2021-08-24 10:33:09.448208424;2021-08-24 11:03:09.448208424;2021-08-24 12:03:09.448208424;2021-08-24 12:33:09.448208424;2021-08-24 12:14:00;185.9292224244884;603.078125;417.1489025755116;426.440625;43.82293985542344;1.8196516730331223;177.29498864703706;-8.634233777451328;-1.0;428.68643168166955;1.0276580593522464;1.0
;;;7;0.051468534076656976;0.0017685340766569746;0.0018314659233430244;2021-08-24 10:32:44.214477454;2021-08-24 11:02:44.214477454;2021-08-24 12:02:44.214477454;2021-08-24 12:32:44.214477454;2021-08-24 12:05:00;153.08922670185166;886.2105712890625;733.1213445872108;511.65390625;39.39648657347119;3.3889973551974477;193.6797330131721;40.59050631132044;-1.0;513.1683962747682;0.6999774321994556;1.0
;;;8;0.05560035971106662;0.002300359711066617;0.0023996402889333857;2021-08-24 10:32:19.250898368;2021-08-24 11:02:19.250898368;2021-08-24 12:02:19.250898368;2021-08-24 12:32:19.250898368;2021-08-24 12:10:00;72.0468455030341;453.90330381954635;381.85645831651226;322.8497424950889;24.07627166983981;2.763142339116155;88.43344340537011;16.386597902336007;-1.0;323.7462325443574;0.8478218071043109;1.0
;;;9;0.06030422870744639;0.0023042287074463846;0.002395771292553618;2021-08-24 10:31:54.170093284;2021-08-24 11:01:54.170093284;2021-08-24 12:01:54.170093284;2021-08-24 12:31:54.170093284;2021-08-24 12:21:00;107.125232320002;442.2647774147014;335.13954509469943;313.56952930305243;28.634347753898243;2.2320159574420035;130.5411698039613;23.41593748395931;-1.0;314.87422183886224;0.9395316859724481;1.0
