Plot_period;Averaging;Ion_contamination_correction;Energy_channel;Primary_energy;Energy_error_low;Energy_error_high;Bg_start;Bg_end;Searchstart;Searchend;Peak_timestamp;Background_flux;Flux_peak;Bg_subtracted_peak;Peak_electron_uncertainty;Bg_electron_uncertainty;Peak_significance;Flux_average;Bg_subtracted_average;Average_significance;Backsub_peak_uncertainty;rel_backsub_peak_err;frac_nonan
2021-08-24-0900;Mean;True;0;0.03295087252259035;0.0017508725225903535;0.0018491274774096456;2021-08-24 10:35:31.734670273;2021-08-24 11:05:31.734670273;2021-08-24 12:05:31.734670273;2021-08-24 12:35:31.734670273;2021-08-24 12:31:00;308.8540164590044;2189.5658284961405;1880.711812037136;1280.0350999549935;88.83280364833428;4.458213563999455;435.39157874615336;126.53756228714894;-1.0;1283.1138391120305;0.6822490457600713;1.0
2021-08-24-1500;Resampled to 1min;;1;0.03489555845662883;0.0018955584566288305;0.00200444154337117;2021-08-24 10:35:07.800986935;2021-08-24 11:05:07.800986935;2021-08-24 12:05:07.800986935;2021-08-24 12:35:07.800986935;2021-08-24 12:11:00;401.4546727858599;1534.8086059130103;1133.3539331271504;1092.104956201953;102.97511863148783;2.151014934785395;430.2372043457408;28.78253155988091;-1.0;1096.949000828224;0.9678785847608276;1.0
;;;2;0.036364818162614256;0.001564818162614258;0.0016351818373857435;2021-08-24 10:34:51.047200643;2021-08-24 11:04:51.047200643;2021-08-24 12:04:51.047200643;2021-08-24 12:34:51.047200643;2021-08-24 12:22:00;91.52967845995187;505.6634521484375;414.13377368848563;505.66344401041664;41.318919128789645;1.995961749490627;161.82964797280937;70.2999695128575;-1.0;507.3487673055363;1.2250842590953899;1.0
;;;3;0.03927849284277593;0.0012784928427759315;0.0013215071572240666;2021-08-24 10:34:20.741528706;2021-08-24 11:04:20.741528706;2021-08-24 12:04:20.741528706;2021-08-24 12:34:20.741528706;2021-08-24 12:34:00;272.4600362457551;1394.9778029529743;1122.5177667072194;810.8480862678321;66.2162917348924;2.812444045412156;306.1771157768202;33.71707953106511;-1.0;813.547304276356;0.7247522742226221;1.0
;;;4;0.041879828079876356;0.0012798280798763592;0.0013201719201236459;2021-08-24 10:33:56.496986705;2021-08-24 11:03:56.496986705;2021-08-24 12:03:56.496986705;2021-08-24 12:33:56.496986705;2021-08-24 12:30:00;255.66749660611384;1299.8100711640745;1044.1425745579606;759.4308089088915;62.01360210855054;2.785880929315423;243.0394010914742;-12.628095514639654;-1.0;761.9585555438636;0.7297457015067506;1.0
;;;5;0.04452954075667074;0.001329540756670737;0.001370459243329264;2021-08-24 10:33:34.102399972;2021-08-24 11:03:34.102399972;2021-08-24 12:03:34.102399972;2021-08-24 12:33:34.102399972;2021-08-24 12:28:00;258.2288050915753;1247.6877323803694;989.4589272887941;725.1416511313573;60.837359372949166;3.5215358919323947;204.30437734027024;-53.924427751305046;-1.0;727.6892183487292;0.7354415613214615;1.0
;;;6;0.04776222356632907;0.00186222356632907;0.0019377764336709277;2021-08-24 10:33:09.448208424;2021-08-24 11:03:09.448208424;2021-08-24 12:03:09.448208424;2021-08-24 12:33:09.448208424;2021-08-24 12:19:00;94.44192623081292;896.9387439002554;802.4968176694425;522.3374298049243;31.80210906623069;4.02719758179348;166.44110423751493;71.99917800670201;-1.0;523.3046576481761;0.6520956172361186;1.0
;;;7;0.051468534076656976;0.0017685340766569746;0.0018314659233430244;2021-08-24 10:32:44.214477454;2021-08-24 11:02:44.214477454;2021-08-24 12:02:44.214477454;2021-08-24 12:32:44.214477454;2021-08-24 12:31:00;72.93357626289567;577.5849935755933;504.6514173126977;417.85119553481786;27.868382227216568;3.831684278304896;84.35538184303046;11.421805580134787;-1.0;418.77949846887066;0.8298391406466256;1.0
;;;8;0.05560035971106662;0.002300359711066617;0.0023996402889333857;2021-08-24 10:32:19.250898368;2021-08-24 11:02:19.250898368;2021-08-24 12:02:19.250898368;2021-08-24 12:32:19.250898368;2021-08-24 12:07:00;93.62241833392403;456.50796172459275;362.8855433906687;322.8444357844303;27.45145046144054;2.171427311711033;79.8449878397635;-13.777430494160527;-1.0;324.00943172908416;0.8928694946116054;1.0
;;;9;0.06030422870744639;0.0023042287074463846;0.002395771292553618;2021-08-24 10:31:54.170093284;2021-08-24 11:01:54.170093284;2021-08-24 12:01:54.170093284;2021-08-24 12:31:54.170093284;2021-08-24 12:10:00;113.1909408902102;886.8837740034946;773.6928331132845;443.45110715454734;29.57607622693146;5.168914935524622;136.58708846088533;23.396147570675126;-1.0;444.4363044594524;0.5744350799671655;1.0
