Plot_period;Averaging;Ion_masking;Energy_channel;Primary_energy;Energy_error_low;Energy_error_high;Bg_start;Bg_end;Searchstart;Searchend;Peak_timestamp;Background_flux;Flux_peak;Bg_subtracted_peak;Peak_electron_uncertainty;Bg_electron_uncertainty;Peak_significance;Flux_average;Bg_subtracted_average;Average_significance;Backsub_peak_uncertainty;rel_backsub_peak_err;frac_nonan
2021-08-24-0900;Mean;True;0;0.0043233436134547535;0.00023334361345475358;0.0002466563865452468;2021-08-24 11:01:10.638762710;2021-08-24 11:31:10.638762710;2021-08-24 12:31:10.638762710;2021-08-24 13:01:10.638762710;2021-08-24 12:38:00;302145.1741379309;920247.1499999999;618101.975862069;387.6545871996522;60.571174277100674;4.211136720581325;388978.46199999994;86833.28786206903;-1.0;392.3581860115062;0.0006347790515703866;1.0
2021-08-24-1500;Resampled to 1min;;1;0.004575183056447031;0.00020518305644703135;0.00021481694355296888;2021-08-24 11:00:02.557602216;2021-08-24 11:30:02.557602216;2021-08-24 12:30:02.557602216;2021-08-24 13:00:02.557602216;2021-08-24 12:42:00;371672.9844432472;1210346.2925;838673.3080567528;455.5011157488202;68.85562362458542;7.130336798336915;638754.8659111112;267081.88146786403;-1.0;460.6759852142834;0.0005492913400113953;1.0
;;;2;0.004760588198951889;0.0002005881989518895;0.00020941180104811028;2021-08-24 10:59:15.942447870;2021-08-24 11:29:15.942447870;2021-08-24 12:29:15.942447870;2021-08-24 12:59:15.942447870;2021-08-24 12:53:00;350317.773946875;1499893.71;1149575.936053125;449.13304617921244;67.1284403756573;5.972562253649551;627546.4995624999;277228.7256156249;-1.0;454.1219227008169;0.000395034297829831;1.0
;;;3;0.005064316340830221;0.00023431634083022086;0.00024568365916977867;2021-08-24 10:58:05.209564269;2021-08-24 11:28:05.209564269;2021-08-24 12:28:05.209564269;2021-08-24 12:58:05.209564269;2021-08-24 12:47:00;241876.14402777786;622116.87;380240.72597222216;355.23852288969766;53.292258144519565;2.6492701117181228;417048.90982471267;175172.7657969348;-1.0;359.2136869928488;0.0009447007184051362;0.9666666666666667
;;;4;0.005356631404156907;0.0001866314041569072;0.00019336859584309293;2021-08-24 10:57:02.924471615;2021-08-24 11:27:02.924471615;2021-08-24 12:27:02.924471615;2021-08-24 12:57:02.924471615;2021-08-24 12:57:00;316589.37256874994;860176.3283333333;543586.9557645833;430.42151325717276;63.636874278883774;3.0559742287144163;489459.3855143679;172870.01294561796;-1.0;435.1003686996611;0.0008004245946035806;0.9666666666666667
;;;5;0.005586770086552695;0.00018677008655269486;0.00019322991344730527;2021-08-24 10:56:17.384254703;2021-08-24 11:26:17.384254703;2021-08-24 12:26:17.384254703;2021-08-24 12:56:17.384254703;2021-08-24 12:34:00;292155.8785167026;1092628.6425;800472.7639832974;400.4912637773943;60.74881792756543;6.998116520071279;406111.02935625013;113955.15083954751;-1.0;405.07242715545436;0.000506041486208401;1.0
;;;6;0.005836908428269198;0.00018690842826919827;0.00019309157173080186;2021-08-24 10:55:30.990102844;2021-08-24 11:25:30.990102844;2021-08-24 12:25:30.990102844;2021-08-24 12:55:30.990102844;2021-08-24 12:38:00;239431.7973575148;936243.675;696811.8776424853;432.35051124689744;66.3988285846414;6.39291303630687;345705.71420977014;106273.91685225535;-1.0;437.4194428839054;0.0006277439534524311;0.9666666666666667
;;;7;0.0062145635405875446;0.00025456354058754453;0.0002654364594124551;2021-08-24 10:54:26.355405082;2021-08-24 11:24:26.355405082;2021-08-24 12:24:26.355405082;2021-08-24 12:54:26.355405082;2021-08-24 12:50:00;142405.55518750002;424189.26;281783.7048125;391.7907968006937;59.46494303829361;5.08357140942;237794.22230603447;95388.66711853445;-1.0;396.2778165735119;0.0014063191370033152;0.9666666666666667
;;;8;0.00659754499795189;0.0001775449979518895;0.00018245500204810972;2021-08-24 10:53:26.595173747;2021-08-24 11:23:26.595173747;2021-08-24 12:23:26.595173747;2021-08-24 12:53:26.595173747;2021-08-24 12:29:00;169763.03961206903;454289.417578125;284526.377966056;447.9444591991748;66.34287540019686;3.4668534969485534;256030.18792564658;86267.14831357755;-1.0;452.8306699458499;0.0015915243893480856;0.9666666666666667
;;;9;0.006882514075539548;0.00018251407553954765;0.00018748592446045202;2021-08-24 10:52:45.424139695;2021-08-24 11:22:45.424139695;2021-08-24 12:22:45.424139695;2021-08-24 12:52:45.424139695;2021-08-24 12:48:00;198496.37014453128;555732.140625;357235.77048046875;391.8946167246832;63.885422302243136;4.378398277785596;221435.51896551723;22939.148820985953;-1.0;397.06767408153775;0.0011115003224551018;0.9666666666666667
;;;10;0.007992058558344027;0.0009420585583440272;0.0010679414416559733;2021-08-24 10:50:26.820857074;2021-08-24 11:20:26.820857074;2021-08-24 12:20:26.820857074;2021-08-24 12:50:26.820857074;2021-08-24 12:25:00;69205.69114695581;190550.85468750002;121345.1635405442;221.74472141960806;36.61295439295058;4.900194103899276;85293.05635546877;16087.365208512958;-1.0;224.74703536829995;0.0018521301452052252;1.0
;;;11;0.009427544749297136;0.00036754474929713565;0.0003824552507028633;2021-08-24 10:48:05.478298141;2021-08-24 11:18:05.478298141;2021-08-24 12:18:05.478298141;2021-08-24 12:48:05.478298141;2021-08-24 12:45:00;65079.691797873274;158918.35734375002;93838.66554587675;245.08139157304575;42.54863272807328;2.647315041977695;81621.04959583336;16541.35779796009;-1.0;248.74741132805593;0.002650798686032528;1.0
;;;12;0.010027586948014961;0.0002175869480149622;0.00022241305198503897;2021-08-24 10:47:15.680279666;2021-08-24 11:17:15.680279666;2021-08-24 12:17:15.680279666;2021-08-24 12:47:15.680279666;2021-08-24 12:46:00;74481.22774687501;215167.992734375;140686.76498749998;292.696981501631;46.84228965992409;3.2969091793079977;112310.33663211807;37829.108885243055;-1.0;296.42152938130243;0.0021069610166076355;1.0
;;;13;0.010467688379007087;0.00021768837900708674;0.00022231162099291268;2021-08-24 10:46:41.936727939;2021-08-24 11:16:41.936727939;2021-08-24 12:16:41.936727939;2021-08-24 12:46:41.936727939;2021-08-24 12:35:00;73689.95069531252;192434.58720703126;118744.63651171874;261.0921499459019;46.11079684566191;3.4898403144871466;94435.07350488282;20745.122809570297;-1.0;265.13263916220353;0.0022327967557173663;1.0
;;;14;0.01118838236743811;0.0004983823674381098;0.0005216176325618903;2021-08-24 10:45:51.084292763;2021-08-24 11:15:51.084292763;2021-08-24 12:15:51.084292763;2021-08-24 12:45:51.084292763;2021-08-24 12:39:00;50759.39276119792;160671.45937499998;109912.06661380205;223.5013432891259;36.546235638503525;4.719228910957934;79096.72458398438;28337.33182278646;-1.0;226.469595732824;0.0020604616281901973;1.0
;;;15;0.011957386838268635;0.00024738683826863554;0.0002526131617313649;2021-08-24 10:45:02.029506095;2021-08-24 11:15:02.029506095;2021-08-24 12:15:02.029506095;2021-08-24 12:45:02.029506095;2021-08-24 12:36:00;54093.9520015625;161737.84151041668;107643.88950885418;242.73292432884352;41.799846578324384;3.625144603609637;88256.26403046874;34162.312028906235;-1.0;246.3057038056641;0.002288153140224503;1.0
;;;16;0.012467289200142909;0.0002572892001429083;0.00026271079985709135;2021-08-24 10:44:32.064318555;2021-08-24 11:14:32.064318555;2021-08-24 12:14:32.064318555;2021-08-24 12:44:32.064318555;2021-08-24 12:41:00;47351.485396874996;172983.8275;125632.34210312502;252.72329004657297;39.999070368117444;6.601217755467982;80015.23604479169;32663.75064791669;-1.0;255.86908168490748;0.0020366497782464163;1.0
;;;17;0.013287780100528456;0.0005577801005284561;0.0005822198994715443;2021-08-24 10:43:47.560861818;2021-08-24 11:13:47.560861818;2021-08-24 12:13:47.560861818;2021-08-24 12:43:47.560861818;2021-08-24 12:39:00;38374.509898828124;157610.6420625;119236.13216367188;192.96475671520088;31.885928079978985;8.93979668865864;69077.49506796876;30702.985169140637;-1.0;195.58146574682954;0.0016402869012755352;1.0
;;;18;0.014157030055770879;0.0002870300557708781;0.0002929699442291208;2021-08-24 10:43:04.751990120;2021-08-24 11:13:04.751990120;2021-08-24 12:13:04.751990120;2021-08-24 12:43:04.751990120;2021-08-24 12:36:00;36834.61572777778;157699.61500000002;120864.99927222224;225.16734366153977;35.86202436062843;5.760865544369018;73378.05122500002;36543.435497222235;-1.0;228.00530134809642;0.0018864460573450538;1.0
;;;19;0.014766533106995695;0.0003165331069956961;0.00032346689300430387;2021-08-24 10:42:37.046965191;2021-08-24 11:12:37.046965191;2021-08-24 12:12:37.046965191;2021-08-24 12:42:37.046965191;2021-08-24 12:36:00;45619.05369628907;151098.163125;105479.10942871092;209.09838894022164;34.13692415654014;5.236816183084551;69908.08263222656;24289.028935937495;-1.0;211.86662278014813;0.0020086121690602657;1.0
;;;20;0.01574575180802746;0.0006557518080274605;0.0006842481919725404;2021-08-24 10:41:55.999065661;2021-08-24 11:11:55.999065661;2021-08-24 12:11:55.999065661;2021-08-24 12:41:55.999065661;2021-08-24 12:35:00;35765.96888373481;138622.71451822916;102856.74563449435;161.15008490349777;26.422427426855915;5.31576433445481;54744.01899750809;18978.05011377328;-1.0;163.30185098623963;0.001587663015963381;0.9666666666666667
;;;21;0.016805704388688978;0.00037570438868897785;0.0003842956113110224;2021-08-24 10:41:15.734517888;2021-08-24 11:11:15.734517888;2021-08-24 12:11:15.734517888;2021-08-24 12:41:15.734517888;2021-08-24 12:34:00;30775.40320769913;117350.00478515626;86574.60157745713;185.96347087805384;28.58957917965874;4.843964359711272;54339.13909065755;23563.735882958415;-1.0;188.14828337958002;0.0021732503523131585;1.0
;;;22;0.01793869560475343;0.0007486956047534285;0.0007813043952465716;2021-08-24 10:40:36.766803410;2021-08-24 11:10:36.766803410;2021-08-24 12:10:36.766803410;2021-08-24 12:40:36.766803410;2021-08-24 12:34:00;19885.01861393229;93128.14326171874;73243.12464778645;142.50649741117448;23.25082382113418;7.1576149645136375;39957.58562548828;20072.56701155599;1.9615725941377897;144.39079822745805;0.0019713904741476894;1.0
;;;23;0.01910601999370879;0.0003860199937087902;0.00039398000629120924;2021-08-24 10:40:00.361210426;2021-08-24 11:10:00.361210426;2021-08-24 12:10:00.361210426;2021-08-24 12:40:00.361210426;2021-08-24 12:33:00;28327.265959635417;104189.347734375;75862.08177473958;156.40866927491712;26.27708873664269;4.780029834259354;43159.3080064019;14832.042046766484;-1.0;158.6006217416054;0.002090644206318313;1.0
;;;24;0.019944924166313594;0.00044492416631359416;0.00045507583368640733;2021-08-24 10:39:36.231289003;2021-08-24 11:09:36.231289003;2021-08-24 12:09:36.231289003;2021-08-24 12:39:36.231289003;2021-08-24 12:33:00;35411.53596440972;95529.52078125;60117.98481684028;157.47090228228646;25.49203249654704;5.020057999100051;43368.7877453993;7957.25178098958;-1.0;159.52093526055575;0.0026534644457322305;1.0
;;;25;0.021338416061179425;0.0009384160611794236;0.0009815839388205745;2021-08-24 10:38:59.399398932;2021-08-24 11:08:59.399398932;2021-08-24 12:08:59.399398932;2021-08-24 12:38:59.399398932;2021-08-24 12:30:00;16067.235248372399;86327.96578125;70260.7305328776;123.16851677306647;19.875305054501844;6.530478098107794;26540.273814572483;10473.038566200084;-1.0;124.76181817802538;0.0017756977081193983;1.0
