Plot_period;Averaging;Ion_contamination_correction;Energy_channel;Primary_energy;Energy_error_low;Energy_error_high;Bg_start;Bg_end;Searchstart;Searchend;Peak_timestamp;Background_flux;Flux_peak;Bg_subtracted_peak;Peak_electron_uncertainty;Bg_electron_uncertainty;Peak_significance;Flux_average;Bg_subtracted_average;Average_significance;Backsub_peak_uncertainty;rel_backsub_peak_err;frac_nonan
2021-08-24-0900;Mean;True;0;0.03295087252259035;0.0017508725225903535;0.0018491274774096456;2021-08-24 10:35:31.734670273;2021-08-24 11:05:31.734670273;2021-08-24 12:05:31.734670273;2021-08-24 12:35:31.734670273;2021-08-24 12:26:00;131.26459131201776;15148.774558494531;15017.509967182514;2365.8494797511717;60.37831868745232;64.7089886228684;4077.958781061788;3946.6941897497704;17.00592108682134;2366.619805166519;0.1575906931534089;1.0
2021-08-24-1500;Resampled to 2min;;1;0.03489555845662883;0.0018955584566288305;0.00200444154337117;2021-08-24 10:35:07.800986935;2021-08-24 11:05:07.800986935;2021-08-24 12:05:07.800986935;2021-08-24 12:35:07.800986935;2021-08-24 12:26:00;319.5673798736331;18532.88759518392;18213.32021531029;2674.9984378954896;92.83010344052396;56.48571234348196;5395.405397748372;5075.838017874738;15.741903331758753;2676.6086884055517;0.14695885520947294;1.0
;;;2;0.036364818162614256;0.001564818162614258;0.0016351818373857435;2021-08-24 10:34:51.047200643;2021-08-24 11:04:51.047200643;2021-08-24 12:04:51.047200643;2021-08-24 12:34:51.047200643;2021-08-24 12:28:00;120.65293632580402;12637.037375051035;12516.384438725232;1787.7959202699233;47.71346144548154;77.10296951929487;4373.0087213352535;4252.355785009449;26.19520517940991;1788.432505558119;0.14288731017439626;1.0
;;;3;0.03927849284277593;0.0012784928427759315;0.0013215071572240666;2021-08-24 10:34:20.741528706;2021-08-24 11:04:20.741528706;2021-08-24 12:04:20.741528706;2021-08-24 12:34:20.741528706;2021-08-24 12:26:00;159.26022963120218;9830.321779518297;9671.061549887096;1516.8569014157838;51.77932092633599;46.67309319542045;3159.3628816888763;3000.1026520576743;14.478666065045424;1517.7404117464505;0.15693627880634978;1.0
;;;4;0.041879828079876356;0.0012798280798763592;0.0013201719201236459;2021-08-24 10:33:56.496986705;2021-08-24 11:03:56.496986705;2021-08-24 12:03:56.496986705;2021-08-24 12:33:56.496986705;2021-08-24 12:26:00;223.08837063896493;7672.181983759993;7449.093613121028;1296.839844011116;58.47325324730538;30.991298679610424;2506.407902924499;2283.319532285534;9.499550050143752;1298.1574258771927;0.17427052112629976;1.0
;;;5;0.04452954075667074;0.001329540756670737;0.001370459243329264;2021-08-24 10:33:34.102399972;2021-08-24 11:03:34.102399972;2021-08-24 12:03:34.102399972;2021-08-24 12:33:34.102399972;2021-08-24 12:26:00;143.43797405499072;6907.437371155373;6763.999397100382;1202.435286772173;46.30161343735792;46.30247751721396;1988.8321960760106;1845.39422202102;12.632515093386063;1203.3264138552684;0.1779016145937439;1.0
;;;6;0.04776222356632907;0.00186222356632907;0.0019377764336709277;2021-08-24 10:33:09.448208424;2021-08-24 11:03:09.448208424;2021-08-24 12:03:09.448208424;2021-08-24 12:33:09.448208424;2021-08-24 12:26:00;61.616054971957055;4221.526919431908;4159.910864459951;797.797396082911;26.6201100135695;42.999227465701374;1501.8973157886464;1440.2812608166894;14.887574173174984;798.2413892136938;0.19188906090114585;1.0
;;;7;0.051468534076656976;0.0017685340766569746;0.0018314659233430244;2021-08-24 10:32:44.214477454;2021-08-24 11:02:44.214477454;2021-08-24 12:02:44.214477454;2021-08-24 12:32:44.214477454;2021-08-24 12:24:00;60.99899523178817;3837.2217622179755;3776.2227669861873;753.1377149138971;26.074902897243142;39.894279733791265;1373.330444445387;1312.3314492135987;13.864255677946474;753.5889583763998;0.1995615737939743;1.0
;;;8;0.05560035971106662;0.002300359711066617;0.0023996402889333857;2021-08-24 10:32:19.250898368;2021-08-24 11:02:19.250898368;2021-08-24 12:02:19.250898368;2021-08-24 12:32:19.250898368;2021-08-24 12:24:00;76.58435139904459;3421.786415699167;3345.2020643001224;625.1886017667267;25.257382551517615;40.95871634343513;1060.6910812530289;984.1067298539842;12.049421118657598;625.6985881016423;0.18704358543212543;1.0
;;;9;0.06030422870744639;0.0023042287074463846;0.002395771292553618;2021-08-24 10:31:54.170093284;2021-08-24 11:01:54.170093284;2021-08-24 12:01:54.170093284;2021-08-24 12:31:54.170093284;2021-08-24 12:24:00;67.45459152474099;2658.4908885979553;2591.0362970732144;543.1172005252569;23.389756449514252;37.486513127961565;792.609115288841;725.1545237641001;10.491367722478314;543.6206160670874;0.20980818241764926;1.0
