Plot_period;Averaging;Ion_contamination_correction;Energy_channel;Primary_energy;Energy_error_low;Energy_error_high;Bg_start;Bg_end;Searchstart;Searchend;Peak_timestamp;Background_flux;Flux_peak;Bg_subtracted_peak;Peak_electron_uncertainty;Bg_electron_uncertainty;Peak_significance;Flux_average;Bg_subtracted_average;Average_significance;Backsub_peak_uncertainty;rel_backsub_peak_err;frac_nonan
2021-08-24-0900;Mean;True;0;0.03295087252259035;0.0017508725225903535;0.0018491274774096456;2021-08-24 10:35:31.734670273;2021-08-24 11:05:31.734670273;2021-08-24 12:05:31.734670273;2021-08-24 12:35:31.734670273;2021-08-24 12:15:00;383.33009765708016;877.5098221308773;494.17972447379714;362.0456351887515;98.54691615861272;2.4470320897332196;436.556625413444;53.22652775636385;-1.0;375.21798550122725;0.7592743427520414;1.0
2021-08-24-1500;Resampled to 5min;;1;0.03489555845662883;0.0018955584566288305;0.00200444154337117;2021-08-24 10:35:07.800986935;2021-08-24 11:05:07.800986935;2021-08-24 12:05:07.800986935;2021-08-24 12:35:07.800986935;2021-08-24 12:25:00;608.1399036492954;924.6709882034854;316.53108455419;378.3066845831419;126.11173723958699;-1.0;765.9395131432383;157.79960949394285;-1.0;398.7732662427052;1.2598233971375894;1.0
;;;2;0.036364818162614256;0.001564818162614258;0.0016351818373857435;2021-08-24 10:34:51.047200643;2021-08-24 11:04:51.047200643;2021-08-24 12:04:51.047200643;2021-08-24 12:34:51.047200643;2021-08-24 12:05:00;345.48029309238694;503.9207116877913;158.44041859540437;226.1427033976068;77.25679674574035;-1.0;415.9576131392326;70.47732004684565;-1.0;238.9751764166952;1.5082968003697688;1.0
;;;3;0.03927849284277593;0.0012784928427759315;0.0013215071572240666;2021-08-24 10:34:20.741528706;2021-08-24 11:04:20.741528706;2021-08-24 12:04:20.741528706;2021-08-24 12:34:20.741528706;2021-08-24 12:25:00;273.49582100051754;560.148291897919;286.65247089740143;229.33230905796694;66.2146520143397;2.450810892882458;400.9288893339156;127.43306833339807;-1.0;238.69999606040838;0.83271564104481;1.0
;;;4;0.041879828079876356;0.0012798280798763592;0.0013201719201236459;2021-08-24 10:33:56.496986705;2021-08-24 11:03:56.496986705;2021-08-24 12:03:56.496986705;2021-08-24 12:33:56.496986705;2021-08-24 12:30:00;314.9561635174611;344.5728302606751;29.61666674321401;175.38880556744678;68.55486294545413;-1.0;229.54817264862936;-85.40799086883175;-1.0;188.31091936434714;6.35827525754546;1.0
;;;5;0.04452954075667074;0.001329540756670737;0.001370459243329264;2021-08-24 10:33:34.102399972;2021-08-24 11:03:34.102399972;2021-08-24 12:03:34.102399972;2021-08-24 12:33:34.102399972;2021-08-24 12:25:00;231.16300124116074;584.8437138291232;353.6807125879625;221.52366788968578;57.54622382166585;3.6202178986758335;316.94646580191153;85.78346456075079;-1.0;228.87617462600397;0.647126536675593;1.0
;;;6;0.04776222356632907;0.00186222356632907;0.0019377764336709277;2021-08-24 10:33:09.448208424;2021-08-24 11:03:09.448208424;2021-08-24 12:03:09.448208424;2021-08-24 12:33:09.448208424;2021-08-24 12:25:00;105.30271729019637;541.7453776173345;436.4426603271381;180.92616332861462;33.35018832997222;6.020171325863783;308.0456767475634;202.74295945736702;2.7965812281758526;183.9742146020935;0.421531237263091;1.0
;;;7;0.051468534076656976;0.0017685340766569746;0.0018314659233430244;2021-08-24 10:32:44.214477454;2021-08-24 11:02:44.214477454;2021-08-24 12:02:44.214477454;2021-08-24 12:32:44.214477454;2021-08-24 12:30:00;74.02109937315483;290.4359020396515;216.4148026664967;132.12874512276716;27.864427603006458;2.662523076087715;134.61253087820128;60.59143150504646;-1.0;135.03492738310467;0.6239634522191096;1.0
;;;8;0.05560035971106662;0.002300359711066617;0.0023996402889333857;2021-08-24 10:32:19.250898368;2021-08-24 11:02:19.250898368;2021-08-24 12:02:19.250898368;2021-08-24 12:32:19.250898368;2021-08-24 12:15:00;79.44736862215196;315.56144002847356;236.1140714063216;120.81247934154285;25.250040299236314;3.4891638465004635;164.45555372178407;85.00818509963212;1.2562041912183746;123.42293020246998;0.5227258564783933;1.0
;;;9;0.06030422870744639;0.0023042287074463846;0.002395771292553618;2021-08-24 10:31:54.170093284;2021-08-24 11:01:54.170093284;2021-08-24 12:01:54.170093284;2021-08-24 12:31:54.170093284;2021-08-24 12:30:00;40.35491670968106;217.20004152949912;176.84512481981807;99.18075606804264;18.11874116060803;3.07485777919639;115.43118169330224;75.07626498362117;1.3053729225111617;100.82217591122347;0.5701156648448636;1.0
;;;10;0.06495929494691272;0.00225929494691271;0.002340705053087283;2021-08-24 10:31:32.225162127;2021-08-24 11:01:32.225162127;2021-08-24 12:01:32.225162127;2021-08-24 12:31:32.225162127;2021-08-24 12:25:00;54.36481917558109;347.6087879609903;293.2439687854092;123.10266325725922;20.528364634722042;5.534227968796309;214.96959242259786;160.60477324701677;3.0310032690774786;124.80256189520416;0.42559293687138877;1.0
;;;11;0.07014007413740023;0.002840074137400228;0.0029599258625997715;2021-08-24 10:31:10.566005865;2021-08-24 11:01:10.566005865;2021-08-24 12:01:10.566005865;2021-08-24 12:31:10.566005865;2021-08-24 12:20:00;72.77783498016397;101.69716523368442;28.919330253520442;61.04336851871975;21.17850551275639;-1.0;50.2472213262351;-22.530613653928874;-1.0;64.61286200027112;2.2342447571864357;1.0
;;;12;0.0758965084835923;0.002796508483592308;0.0029034915164076885;2021-08-24 10:30:49.311409116;2021-08-24 11:00:49.311409116;2021-08-24 12:00:49.311409116;2021-08-24 12:30:49.311409116;2021-08-24 12:25:00;54.695169146656305;173.7263064921797;119.0311373455234;77.89319108482874;18.370586709058752;1.8475097456601115;49.737711096677515;-4.95745804997879;-1.0;80.03016727092785;0.6723464889578968;1.0
;;;13;0.08212965359722393;0.003329653597223939;0.0034703464027760617;2021-08-24 10:30:29.032143228;2021-08-24 11:00:29.032143228;2021-08-24 12:00:29.032143228;2021-08-24 12:30:29.032143228;2021-08-24 12:30:00;50.70543600794454;172.3132208635987;121.60778485565416;72.13950278133146;16.285800113700223;4.2813628645409345;51.48572579105308;0.780289783108536;-1.0;73.95495349793093;0.6081432499219839;1.0
;;;14;0.08941498755801512;0.003814987558015126;0.003985012441984875;2021-08-24 10:30:08.263302241;2021-08-24 11:00:08.263302241;2021-08-24 12:00:08.263302241;2021-08-24 12:30:08.263302241;2021-08-24 12:30:00;26.217798059089848;96.36557677885713;70.14777871976729;50.380266690034354;11.116805725293181;1.8974220586665356;56.28904375168447;30.07124569259462;0.8133948921839697;51.592195546350766;0.7354786778417596;1.0
;;;15;0.09717376189074908;0.003773761890749086;0.003926238109250912;2021-08-24 10:29:48.962894002;2021-08-24 10:59:48.962894002;2021-08-24 11:59:48.962894002;2021-08-24 12:29:48.962894002;2021-08-24 12:20:00;46.34204641751851;96.37406889561403;50.03202247809552;50.31245515910572;14.531629313837819;1.4304556633241465;43.63369627643471;-2.7083501410837982;-1.0;52.368992683188154;1.0467094890300663;1.0
;;;16;0.10588668471531253;0.004786684715312531;0.005013315284687472;2021-08-24 10:29:30.079820127;2021-08-24 10:59:30.079820127;2021-08-24 11:59:30.079820127;2021-08-24 12:29:30.079820127;2021-08-24 12:25:00;12.50457014968098;99.22210336323565;86.71753321355467;44.478205197051615;7.455609190370441;3.3177120420178063;27.296470273621278;14.791900123940298;0.5659209083434875;45.09874550306877;0.5200649030456906;1.0
;;;17;0.11521601451187244;0.00431601451187244;0.004483985488127562;2021-08-24 10:29:12.497235466;2021-08-24 10:59:12.497235466;2021-08-24 11:59:12.497235466;2021-08-24 12:29:12.497235466;2021-08-24 12:05:00;21.309974314803156;65.13465549597923;43.824681181176075;37.7059054285904;9.634935728497137;1.767017650264993;33.732031774792176;12.42205745998902;-1.0;38.917441985337035;0.8880256726671446;1.0
;;;18;0.1249833988976136;0.005283398897613603;0.005516601102386401;2021-08-24 10:28:56.444826717;2021-08-24 10:58:56.444826717;2021-08-24 11:58:56.444826717;2021-08-24 12:28:56.444826717;2021-08-24 12:25:00;13.518470850404356;17.599669776159093;4.081198925754737;17.738571555321297;7.294225477081027;-1.0;12.149142934781116;-1.3693279156232396;-1.0;19.179745726514515;4.699537090799268;1.0
;;;19;0.13627233761846166;0.005772337618461659;0.006027662381538346;2021-08-24 10:28:40.309853592;2021-08-24 10:58:40.309853592;2021-08-24 11:58:40.309853592;2021-08-24 12:28:40.309853592;2021-08-24 12:20:00;6.477079110406123;75.99210066947727;69.51502155907114;35.96361383046952;5.424773810035593;5.281986440862726;29.473230347989368;22.996151237583245;1.7473253450080108;36.37045078957898;0.523202754942294;1.0
;;;20;0.14808251078368437;0.005782510783684358;0.006017489216315619;2021-08-24 10:28:25.666337141;2021-08-24 10:58:25.666337141;2021-08-24 11:58:25.666337141;2021-08-24 12:28:25.666337141;2021-08-24 12:20:00;6.22464806114266;27.622058316108266;21.397410254965607;22.5657810572005;5.3718888356996795;2.609811998955907;10.525801645989054;4.301153584846394;-1.0;23.19637179355047;1.084073797583396;1.0
;;;21;0.16085207490113393;0.006752074901133942;0.007047925098866065;2021-08-24 10:28:11.903244492;2021-08-24 10:58:11.903244492;2021-08-24 11:58:11.903244492;2021-08-24 12:28:11.903244492;2021-08-24 12:00:00;11.574643475027237;21.623289510267284;10.048646035240047;19.378257800706802;6.051433710140217;-1.0;10.955041956014922;-0.6196015190123152;-1.0;20.30115083779428;2.020287187607093;1.0
;;;22;0.1755267785837819;0.007626778583781912;0.00797322141621809;2021-08-24 10:27:58.220247422;2021-08-24 10:57:58.220247422;2021-08-24 11:57:58.220247422;2021-08-24 12:27:58.220247422;2021-08-24 12:00:00;7.6316475515804925;18.48897178124417;10.857324229663678;16.777273879155963;4.869696083009338;0.7607736872084168;1.4280394556120333;-6.203608095968459;-1.0;17.469712612320944;1.6090255980926982;1.0
;;;23;0.1913328252025773;0.007832825202577304;0.00816717479742271;2021-08-24 10:27:45.525259765;2021-08-24 10:57:45.525259765;2021-08-24 11:57:45.525259765;2021-08-24 12:27:45.525259765;2021-08-24 12:10:00;3.918206327712241;18.39284447098069;14.47463814326845;16.83836600229685;4.01522510562968;2.109336128167931;3.555138385560619;-0.3630679421516221;-1.0;17.3104766623044;1.1959177487524812;1.0
;;;24;0.2085927851101279;0.009092785110127899;0.009507214889872079;2021-08-24 10:27:33.591803025;2021-08-24 10:57:33.591803025;2021-08-24 11:57:33.591803025;2021-08-24 12:27:33.591803025;2021-08-24 12:05:00;6.180023875374484;17.686117324785265;11.50609344941078;13.871909281275155;4.070096583523241;1.0008107250232792;7.672722809709913;1.4926989343354284;-1.0;14.456678501894388;1.2564367363655216;1.0
;;;25;0.22740164907053773;0.009301649070537737;0.00969835092946228;2021-08-24 10:27:22.415427869;2021-08-24 10:57:22.415427869;2021-08-24 11:57:22.415427869;2021-08-24 12:27:22.415427869;2021-08-24 12:25:00;3.3115624308962643;19.489665451351236;16.178103020454973;13.783758562774786;3.3636949986557045;1.9643534420259388;6.296315469172576;2.984753038276312;-1.0;14.188250214908413;0.877003329560291;1.0
;;;26;0.2472334524290756;0.010133452429075596;0.010566547570924373;2021-08-24 10:27:12.279102464;2021-08-24 10:57:12.279102464;2021-08-24 11:57:12.279102464;2021-08-24 12:27:12.279102464;2021-08-24 12:00:00;8.977841781783464;15.871952394184419;6.894110612400954;12.387218483098547;4.169244137646786;-1.0;8.63629938062097;-0.3415424011624939;-1.0;13.070033604674487;1.895825921499495;1.0
;;;27;0.2694851758446093;0.011685175844609319;0.012214824155390713;2021-08-24 10:27:02.511381765;2021-08-24 10:57:02.511381765;2021-08-24 11:57:02.511381765;2021-08-24 12:27:02.511381765;2021-08-24 12:15:00;4.318470570580506;13.758965050489973;9.440494479909468;10.949144796579096;2.921567412389093;1.450559891137763;5.1428424641890285;0.8243718936085225;-1.0;11.332225197267702;1.2003847066892597;1.0
;;;28;0.29364667544516826;0.011946675445168253;0.012453324554831724;2021-08-24 10:26:53.436851527;2021-08-24 10:56:53.436851527;2021-08-24 11:56:53.436851527;2021-08-24 12:26:53.436851527;2021-08-24 12:20:00;6.013233286130916;7.58838281502693;1.5751495288960138;7.589557311633168;3.157759272979687;-1.0;5.284521162791752;-0.7287121233391636;-1.0;8.22026908395666;5.21872300575683;1.0
;;;29;0.3196979668374511;0.013597966837451125;0.014202033162548866;2021-08-24 10:26:45.071986929;2021-08-24 10:56:45.071986929;2021-08-24 11:56:45.071986929;2021-08-24 12:26:45.071986929;2021-08-24 12:00:00;13.37945550791529;14.761708182884657;1.3822526749693669;10.467363234617766;4.313877223825151;-1.0;6.313646724400975;-7.065808783514315;-1.0;11.321449986095645;8.190579183611671;1.0
;;;30;0.34962950390377523;0.015729503903775255;0.01647049609622475;2021-08-24 10:26:36.899375330;2021-08-24 10:56:36.899375330;2021-08-24 11:56:36.899375330;2021-08-24 12:26:36.899375330;2021-08-24 12:20:00;2.2035727639628715;7.556067457115832;5.352494693152961;7.556180013320976;2.282747747510219;0.8642542981377526;-0.13721257275174414;-2.3407853367146156;-1.0;7.893465251236263;1.474726403995089;1.0
;;;31;0.38214825657066653;0.016048256570666553;0.016751743429333443;2021-08-24 10:26:29.392884016;2021-08-24 10:56:29.392884016;2021-08-24 11:56:29.392884016;2021-08-24 12:26:29.392884016;2021-08-24 12:15:00;-0.24832899188240912;17.345784465508117;17.594113457390527;12.390981441852297;1.6811841017575773;4.812757624662359;2.801746804706824;3.050075796589233;0.8343287987418779;12.504511229005733;0.7107213022860852;1.0
;;;32;0.41646334772702387;0.017563347727023892;0.01833665227297615;2021-08-24 10:26:22.689090140;2021-08-24 10:56:22.689090140;2021-08-24 11:56:22.689090140;2021-08-24 12:26:22.689090140;2021-08-24 12:25:00;4.848338502714154;27.896094211374432;23.04775570866028;17.413065321563085;3.4247652072473223;2.8629382439903615;5.23598394386741;0.38764544115325617;-1.0;17.74665773090231;0.769995046599437;1.0
;;;33;0.4527302949880867;0.01793029498808668;0.018669705011913285;2021-08-24 10:26:16.674985533;2021-08-24 10:56:16.674985533;2021-08-24 11:56:16.674985533;2021-08-24 12:26:16.674985533;2021-08-24 12:00:00;2.245265966302329;0.0;-2.245265966302329;0.0;3.0995231619569297;-1.0;-1.3082271815305355;-3.5534931478328646;-1.0;3.0995231619569297;1.3804703801133436;1.0
