Plot_period;Averaging;Ion_contamination_correction;Energy_channel;Primary_energy;Energy_error_low;Energy_error_high;Bg_start;Bg_end;Searchstart;Searchend;Peak_timestamp;Background_flux;Flux_peak;Bg_subtracted_peak;Peak_electron_uncertainty;Bg_electron_uncertainty;Peak_significance;Flux_average;Bg_subtracted_average;Average_significance;Backsub_peak_uncertainty;rel_backsub_peak_err;frac_nonan
2021-08-26-2000;Mean;True;0;0.03295087252259035;0.0017508725225903535;0.0018491274774096456;2021-08-26 22:03:17.176316050;2021-08-26 22:43:17.176316050;2021-08-26 23:33:17.176316050;2021-08-27 00:13:17.176316050;2021-08-26 23:54:00;10490.669464189505;58003.36279380567;47512.69332961616;4629.619940383107;440.29126260799586;19.59710946609307;30083.592966495482;19592.923502305977;8.08130711453776;4650.509347192179;0.09787930385106942;1.0
2021-08-27-0200;Resampled to 2min;;1;0.03489555845662883;0.0018955584566288305;0.00200444154337117;2021-08-26 22:02:53.616596514;2021-08-26 22:42:53.616596514;2021-08-26 23:32:53.616596514;2021-08-27 00:12:53.616596514;2021-08-26 23:56:00;13028.506680670323;78359.06568581593;65330.55900514561;5501.1257559597725;501.56275290771464;36.88820163727657;38467.560947101614;25439.05426643129;14.363890000816115;5523.943317774753;0.08455374333073858;1.0
;;;2;0.036364818162614256;0.001564818162614258;0.0016351818373857435;2021-08-26 22:02:37.124588133;2021-08-26 22:42:37.124588133;2021-08-26 23:32:37.124588133;2021-08-27 00:12:37.124588133;2021-08-26 23:54:00;9453.570213651508;57388.24673369521;47934.6765200437;3809.2964185267388;345.7428938305742;29.41644262772541;29589.02150339347;20135.451289741963;12.356677684064072;3824.9545556561816;0.0797951469236846;1.0
;;;3;0.03927849284277593;0.0012784928427759315;0.0013215071572240666;2021-08-26 22:02:07.292442320;2021-08-26 22:42:07.292442320;2021-08-26 23:32:07.292442320;2021-08-27 00:12:07.292442320;2021-08-26 23:56:00;6773.857139884369;50539.33487124668;43765.47773136231;3439.9169939416065;281.5984788651746;34.92895464626423;25398.263172823732;18624.40603293936;14.86402222389038;3451.423855238217;0.07886178865505515;1.0
;;;4;0.041879828079876356;0.0012798280798763592;0.0013201719201236459;2021-08-26 22:01:43.426721288;2021-08-26 22:41:43.426721288;2021-08-26 23:31:43.426721288;2021-08-27 00:11:43.426721288;2021-08-26 23:54:00;6070.063865816629;44495.44036096308;38425.376495146455;3123.205684705073;257.9753835124573;44.87521053136466;21234.833804434355;15164.769938617726;17.71022969003668;3133.841898927335;0.08155656976641917;1.0
;;;5;0.04452954075667074;0.001329540756670737;0.001370459243329264;2021-08-26 22:01:21.382049972;2021-08-26 22:41:21.382049972;2021-08-26 23:31:21.382049972;2021-08-27 00:11:21.382049972;2021-08-26 23:54:00;4519.426978264104;45418.78186783444;40899.354889570335;3083.4353136531213;217.5293789967787;43.41584738825661;17710.987636204016;13191.560657939912;14.003222933085873;3091.0988926609652;0.07557818212553813;1.0
;;;6;0.04776222356632907;0.00186222356632907;0.0019377764336709277;2021-08-26 22:00:57.113080168;2021-08-26 22:40:57.113080168;2021-08-26 23:30:57.113080168;2021-08-27 00:10:57.113080168;2021-08-26 23:54:00;3345.455075400604;31508.325005009367;28162.86992960876;2179.651153443191;158.84627696772364;32.81882545214442;13457.246624863601;10111.791549462996;11.783498013510343;2185.431602776152;0.07759974776144954;1.0
;;;7;0.051468534076656976;0.0017685340766569746;0.0018314659233430244;2021-08-26 22:00:32.273626244;2021-08-26 22:40:32.273626244;2021-08-26 23:30:32.273626244;2021-08-27 00:10:32.273626244;2021-08-26 23:54:00;3639.3491768718477;38843.37853838564;35204.02936151379;2395.3210299357534;163.97614904557943;52.84407713162863;14860.83305180124;11221.483874929392;16.844349075176346;2400.9271154927414;0.06820034976216428;1.0
;;;8;0.05560035971106662;0.002300359711066617;0.0023996402889333857;2021-08-26 22:00:07.700103081;2021-08-26 22:40:07.700103081;2021-08-26 23:30:07.700103081;2021-08-27 00:10:07.700103081;2021-08-26 23:54:00;1739.3002911357885;18603.400313521626;16864.10002238584;1457.2782470320358;99.6716933613584;36.983516514179605;7685.350539307629;5946.050248171841;13.03988041196959;1460.6828320105235;0.08661492935120021;1.0
;;;9;0.06030422870744639;0.0023042287074463846;0.002395771292553618;2021-08-26 21:59:43.011185577;2021-08-26 22:39:43.011185577;2021-08-26 23:29:43.011185577;2021-08-27 00:09:43.011185577;2021-08-26 23:52:00;1672.86870416576;18060.832794071644;16387.964089905883;1415.4086144313692;96.33013063773456;38.522137259881575;7549.941386136003;5877.072681970243;13.814858227606615;1418.6828538736947;0.0865685844861918;1.0
;;;10;0.06495929494691272;0.00225929494691271;0.002340705053087283;2021-08-26 21:59:21.409143969;2021-08-26 22:39:21.409143969;2021-08-26 23:29:21.409143969;2021-08-27 00:09:21.409143969;2021-08-26 23:54:00;1119.6259855549542;15340.39780170762;14220.771816152666;1292.0157302362422;78.0846424567205;31.93886217950889;5348.239100011363;4228.613114456409;9.497170281551277;1294.3731527521281;0.09101989466436092;1.0
;;;11;0.07014007413740023;0.002840074137400228;0.0029599258625997715;2021-08-26 21:59:00.088412023;2021-08-26 22:39:00.088412023;2021-08-26 23:29:00.088412023;2021-08-27 00:09:00.088412023;2021-08-26 23:54:00;998.4518000121952;10566.383714558016;9567.931914545821;964.6951117993847;66.34182952570744;41.86974965834535;4270.402431941821;3271.950631929626;14.318219974484565;966.9735762028067;0.10106401099413632;1.0
;;;12;0.0758965084835923;0.002796508483592308;0.0029034915164076885;2021-08-26 21:58:39.165918349;2021-08-26 22:38:39.165918349;2021-08-26 23:28:39.165918349;2021-08-27 00:08:39.165918349;2021-08-26 23:54:00;691.280675164039;8620.353297949163;7929.072622785124;866.4941133746053;54.9065200585127;39.57886905012636;3360.7766077785213;2669.495932614482;13.325092980379525;868.2319819367282;0.1094998145737449;1.0
;;;13;0.08212965359722393;0.003329653597223939;0.0034703464027760617;2021-08-26 21:58:19.203515990;2021-08-26 22:38:19.203515990;2021-08-26 23:28:19.203515990;2021-08-27 00:08:19.203515990;2021-08-26 23:54:00;433.18579913435195;5592.493757707458;5159.307958573106;641.622926264932;39.97590033511248;29.502258178286503;2401.515421751546;1968.329622617194;11.255418201956294;642.8670563315383;0.12460335019608601;1.0
;;;14;0.08941498755801512;0.003814987558015126;0.003985012441984875;2021-08-26 21:57:58.759188143;2021-08-26 22:37:58.759188143;2021-08-26 23:27:58.759188143;2021-08-27 00:07:58.759188143;2021-08-26 23:54:00;414.27505845348014;6417.551794092588;6003.276735639109;635.5252091499518;36.14991760832386;39.70256689773682;2009.0579582093644;1594.7828997558843;10.547069134600537;636.5525178712112;0.10603417864984427;1.0
;;;15;0.09717376189074908;0.003773761890749086;0.003926238109250912;2021-08-26 21:57:39.760348783;2021-08-26 22:37:39.760348783;2021-08-26 23:27:39.760348783;2021-08-27 00:07:39.760348783;2021-08-26 23:50:00;253.45602744201864;3441.4958364848353;3188.0398090428166;466.0691106302054;28.280020968892238;20.813285120067974;1270.8913797894922;1017.4353523474736;6.64238006676672;466.9263062514594;0.14646188072276622;1.0
;;;16;0.10588668471531253;0.004786684715312531;0.005013315284687472;2021-08-26 21:57:21.172322937;2021-08-26 22:37:21.172322937;2021-08-26 23:27:21.172322937;2021-08-27 00:07:21.172322937;2021-08-26 23:54:00;148.10230839035228;2187.1243019146486;2039.0219935242962;329.85541563911016;19.26275239489633;21.4200685508419;817.8886280037555;669.7863196134032;7.036152099437493;330.4173858262867;0.16204699452759952;1.0
;;;17;0.11521601451187244;0.00431601451187244;0.004483985488127562;2021-08-26 21:57:03.864466161;2021-08-26 22:37:03.864466161;2021-08-26 23:27:03.864466161;2021-08-27 00:07:03.864466161;2021-08-26 23:54:00;83.27875939449959;2230.4307241076685;2147.151964713169;348.4811748626207;15.15549345680798;43.91004247661668;647.7868360960277;564.5080767015281;11.544396499978788;348.810576410108;0.16245267318873932;1.0
;;;18;0.1249833988976136;0.005283398897613603;0.005516601102386401;2021-08-26 21:56:48.062876300;2021-08-26 22:36:48.062876300;2021-08-26 23:26:48.062876300;2021-08-27 00:06:48.062876300;2021-08-26 23:54:00;52.11784386941442;1506.5391452710257;1454.4213014016113;258.57511210406835;10.869474003888445;34.403503225869045;422.2620543601358;370.1442104907214;8.755549390938103;258.8034660988;0.17794257128205815;1.0
;;;19;0.13627233761846166;0.005772337618461659;0.006027662381538346;2021-08-26 21:56:32.180012129;2021-08-26 22:36:32.180012129;2021-08-26 23:26:32.180012129;2021-08-27 00:06:32.180012129;2021-08-26 23:52:00;67.14351977963021;676.2819253398075;609.1384055601773;165.45745592536267;11.705524101008933;11.723404241194027;274.9899229250542;207.846403145424;4.000186791557123;165.87100112971112;0.27230429015089347;1.0
