Plot_period;Averaging;Ion_contamination_correction;Energy_channel;Primary_energy;Energy_error_low;Energy_error_high;Bg_start;Bg_end;Searchstart;Searchend;Peak_timestamp;Background_flux;Flux_peak;Bg_subtracted_peak;Peak_electron_uncertainty;Bg_electron_uncertainty;Peak_significance;Flux_average;Bg_subtracted_average;Average_significance;Backsub_peak_uncertainty;rel_backsub_peak_err;frac_nonan
2021-10-31-2300;Mean;True;0;0.03295087252259035;0.0017508725225903535;0.0018491274774096456;2021-10-31 22:48:08.343400511;2021-11-01 00:48:08.343400511;2021-11-01 01:48:08.343400511;2021-11-01 03:48:08.343400511;2021-11-01 03:00:00;2521.170198131262;498297.2077963479;495776.0375982167;8583.50112669637;140.23552683940972;830.5582763079932;181372.9159596463;178851.74576151505;299.6248031550561;8584.646620274232;0.017315573906844083;1.0
2021-11-01-0430;Resampled to 5min;;1;0.03489555845662883;0.0018955584566288305;0.00200444154337117;2021-10-31 22:47:37.304404931;2021-11-01 00:47:37.304404931;2021-11-01 01:47:37.304404931;2021-11-01 03:47:37.304404931;2021-11-01 02:55:00;3661.6381937379733;693875.2682135231;690213.6300197851;10353.330275557582;168.27460663479735;616.0383549406138;261378.40217465474;257716.76398091676;230.0206840581682;10354.697684530212;0.015002163437765483;1.0
;;;2;0.036364818162614256;0.001564818162614258;0.0016351818373857435;2021-10-31 22:47:15.576838334;2021-11-01 00:47:15.576838334;2021-11-01 01:47:15.576838334;2021-11-01 03:47:15.576838334;2021-11-01 03:00:00;2663.790524809393;511750.1312116394;509086.34068683;7195.382405207377;117.75911637957083;747.3750614988415;192021.60219837492;189357.81167356553;277.9907745194748;7196.345959350369;0.014135806412801164;1.0
;;;3;0.03927849284277593;0.0012784928427759315;0.0013215071572240666;2021-10-31 22:46:36.274170041;2021-11-01 00:46:36.274170041;2021-11-01 01:46:36.274170041;2021-11-01 03:46:36.274170041;2021-11-01 03:00:00;2227.5069598485284;440987.0831436163;438759.5761837678;6426.637757438899;103.90079405672141;814.4095287439008;167095.57345346804;164868.0664936195;306.02209416336416;6427.477595475919;0.014649201850773662;1.0
;;;4;0.041879828079876356;0.0012798280798763592;0.0013201719201236459;2021-10-31 22:46:04.832029634;2021-11-01 00:46:04.832029634;2021-11-01 01:46:04.832029634;2021-11-01 03:46:04.832029634;2021-11-01 03:00:00;2226.591932374231;397231.05310931004;395004.4611769358;5902.8053651269065;99.87965447403847;817.4495575009677;148866.2850845483;146639.69315217406;303.46632522114305;5903.650321957496;0.01494578138274001;1.0
;;;5;0.04452954075667074;0.001329540756670737;0.001370459243329264;2021-10-31 22:45:35.789049963;2021-11-01 00:45:35.789049963;2021-11-01 01:45:35.789049963;2021-11-01 03:45:35.789049963;2021-11-01 02:55:00;1819.2502318129714;346583.8667839534;344764.6165521404;5387.887812825774;88.92504464726657;529.4499633951172;130630.81786371734;128811.56763190437;197.8140345422174;5388.621599923493;0.01562985683917638;1.0
;;;6;0.04776222356632907;0.00186222356632907;0.0019377764336709277;2021-10-31 22:45:03.815645300;2021-11-01 00:45:03.815645300;2021-11-01 01:45:03.815645300;2021-11-01 03:45:03.815645300;2021-11-01 02:55:00;1482.9938222713454;279351.44930198137;277868.45547971;4105.378816878214;68.5036500183507;836.74552013833;108027.54253755599;106544.54871528465;320.83769162917554;4105.950313890586;0.014776597461565415;1.0
;;;7;0.051468534076656976;0.0017685340766569746;0.0018314659233430244;2021-10-31 22:44:31.090650448;2021-11-01 00:44:31.090650448;2021-11-01 01:44:31.090650448;2021-11-01 03:44:31.090650448;2021-11-01 02:55:00;1425.5551154652985;249096.78047006563;247671.22535460032;3837.0773861797197;67.7686056644371;903.5555419043278;91626.62407087312;90201.06895540783;329.07204146813626;3837.675787693053;0.01549504098507409;1.0
;;;8;0.05560035971106662;0.002300359711066617;0.0023996402889333857;2021-10-31 22:43:58.716008822;2021-11-01 00:43:58.716008822;2021-11-01 01:43:58.716008822;2021-11-01 03:43:58.716008822;2021-11-01 02:55:00;1254.9732166958672;204447.0595905876;203192.08637389174;3055.9727514411516;56.012936322907976;735.9077209171431;74563.45630610026;73308.48308940438;265.50383765904553;3056.486038997449;0.015042347827332407;1.0
;;;9;0.06030422870744639;0.0023042287074463846;0.002395771292553618;2021-10-31 22:43:26.189339728;2021-11-01 00:43:26.189339728;2021-11-01 01:43:26.189339728;2021-11-01 03:43:26.189339728;2021-11-01 03:00:00;958.3496832444401;174842.93898080813;173884.58929756368;2785.2987110531585;49.010858586977044;901.9559439321333;64015.6525134116;63057.30283016716;327.08424205821603;2785.729881746222;0.016020567969822114;1.0
