Source.Name;Column1;Date;Averaging [min];Direction;Data type;Distance [AU];STEP;EPT;HET;Sigma;Relative error;Fraction of nan;Leave first HET channel out;Shift STEP data;Type of fit;Fit to;Window;Which fit;Min energy;Max energy;Gamma1 guess;Gamma2 guess;c1 guess;Alpha guess;Break guess [MeV];Cutoff point guess [MeV];Use random;Iterations
2020-11-17-0932-all-fit-variables_ept-peak-best-l2-1min-sun.csv;0;17.11.2020;1min;sun;l2;0.93;TRUE;TRUE;TRUE;3;0.5;0.9;TRUE;;ept;peak;Fixed window;best;;;-1.9;-2.5;1000.0;7,16;0.1;0.12;TRUE;20
2020-11-17-0932-all-fit-variables_ept-peak-best-l2-2min-sun.csv;0;17.11.2020;2min;sun;l2;0.93;TRUE;TRUE;TRUE;3;0.5;0.9;TRUE;;ept;peak;Fixed window;best;;;-1.9;-2.5;1000.0;7,16;0.1;0.12;TRUE;20
2020-11-17-0932-all-fit-variables_ept-peak-best-l2-5min-sun.csv;0;17.11.2020;5min;sun;l2;0.93;TRUE;TRUE;TRUE;3;0.5;0.9;TRUE;;ept;peak;Fixed window;best;;;-1.9;-2.5;1000.0;7,16;0.1;0.12;TRUE;20
2020-11-17-0932-all-fit-variables_ept_het-peak-best-l2-2min-sun.csv;0;17.11.2020;2min;sun;l2;0.93;TRUE;TRUE;TRUE;3;0.5;0.9;TRUE;;ept_het;peak;Fixed window;best;;;-1.9;-2.5;1000.0;7,16;0.1;0.12;TRUE;20
2020-11-17-0932-all-fit-variables_ept_het-peak-best-l2-5min-sun.csv;0;17.11.2020;5min;sun;l2;0.93;TRUE;TRUE;TRUE;3;0.5;0.9;TRUE;;ept_het;peak;Fixed window;best;;;-1.9;-2.5;1000.0;7,16;0.1;0.12;TRUE;20
2020-11-17-0932-all-fit-variables_step-peak-best-l2-1min-sun.csv;0;17.11.2020;1min;sun;l2;0.93;TRUE;TRUE;TRUE;3;0.5;0.9;TRUE;;step;peak;Fixed window;best;;;-1.9;-2.5;1000.0;7,16;0.1;0.12;TRUE;20
2020-11-17-0932-all-fit-variables_step-peak-best-l2-2min-sun.csv;0;17.11.2020;2min;sun;l2;0.93;TRUE;TRUE;TRUE;3;0.5;0.9;TRUE;;step;peak;Fixed window;best;;;-1.9;-2.5;1000.0;7,16;0.1;0.12;TRUE;20
2020-11-17-0932-all-fit-variables_step-peak-best-l2-5min-sun.csv;0;17.11.2020;5min;sun;l2;0.93;TRUE;TRUE;TRUE;3;0.5;0.9;TRUE;;step;peak;Fixed window;best;;;-1.9;-2.5;1000.0;7,16;0.1;0.12;TRUE;20
2020-11-17-0932-all-fit-variables_step_ept-peak-best-l2-1min-sun.csv;0;17.11.2020;1min;sun;l2;0.93;TRUE;TRUE;TRUE;3;0.5;0.9;TRUE;;step_ept;peak;Fixed window;best;;;-1.9;-2.5;1000.0;7,16;0.1;0.12;TRUE;20
2020-11-17-0932-all-fit-variables_step_ept-peak-best-l2-2min-sun.csv;0;17.11.2020;2min;sun;l2;0.93;TRUE;TRUE;TRUE;3;0.5;0.9;TRUE;;step_ept;peak;Fixed window;best;;;-1.9;-2.5;1000.0;7,16;0.1;0.12;TRUE;20
2020-11-17-0932-all-fit-variables_step_ept-peak-best-l2-5min-sun.csv;0;17.11.2020;5min;sun;l2;0.93;TRUE;TRUE;TRUE;3;0.5;0.9;TRUE;;step_ept;peak;Fixed window;best;;;-1.9;-2.5;1000.0;7,16;0.1;0.12;TRUE;20
2020-11-17-0932-all-fit-variables_step_ept-peak-best_cb-l2-5min-sun.csv;0;17.11.2020;5min;sun;l2;0.93;TRUE;TRUE;TRUE;3;0.5;0.9;TRUE;;step_ept;peak;One slope D = 0.95 AU;best_cb;;;-1.9;-2.5;1000.0;7,16;0.1;0.12;TRUE;20
2020-11-17-0932-all-fit-variables_step_ept-peak-cut-l2-5min-sun.csv;0;17.11.2020;5min;sun;l2;0.93;TRUE;TRUE;TRUE;3;0.5;0.9;TRUE;;step_ept;peak;One slope D = 0.95 AU;cut;;;-1.9;-2.5;1000.0;7,16;0.1;0.12;TRUE;20
2020-11-17-0932-all-fit-variables_step_ept_het-peak-best-l2-1min-sun.csv;0;17.11.2020;1min;sun;l2;0.93;TRUE;TRUE;TRUE;3;0.5;0.9;TRUE;;step_ept_het;peak;Fixed window;best;;;-1.9;-2.5;1000.0;7,16;0.1;0.12;TRUE;20
2020-11-17-0932-all-fit-variables_step_ept_het-peak-best-l2-2min-sun.csv;0;17.11.2020;2min;sun;l2;0.93;TRUE;TRUE;TRUE;3;0.5;0.9;TRUE;;step_ept_het;peak;Fixed window;best;;;-1.9;-2.5;1000.0;7,16;0.1;0.12;TRUE;20
2020-11-17-0932-all-fit-variables_step_ept_het-peak-best-l2-5min-sun.csv;0;17.11.2020;5min;sun;l2;0.93;TRUE;TRUE;TRUE;3;0.5;0.9;TRUE;;step_ept_het;peak;Fixed window;best;;;-1.9;-2.5;1000.0;7,16;0.1;0.12;TRUE;20
2020-11-17-1826-all-fit-variables_ept-peak-best-l2-2min-sun.csv;0;17.11.2020;2min;sun;l2;0.93;TRUE;TRUE;TRUE;3;0.5;0.9;TRUE;;ept;peak;One slope D = 0.95 AU;best;0.01;;-1.9;-2.5;1000.0;7,16;0.6;0.12;TRUE;20
2020-11-17-1826-all-fit-variables_ept-peak-best-l2-5min-sun.csv;0;17.11.2020;5min;sun;l2;0.93;TRUE;TRUE;TRUE;3;0.5;0.9;TRUE;;ept;peak;One slope D = 0.95 AU;best;;1;-1.9;-2.5;1000.0;7,16;0.1;0.12;TRUE;20
2020-11-17-1826-all-fit-variables_step-peak-best-l2-5min-sun.csv;0;17.11.2020;5min;sun;l2;0.93;TRUE;TRUE;TRUE;3;0.5;0.9;TRUE;;step;peak;One slope D = 0.95 AU;best;;;-1.9;-2.5;1000.0;7,16;0.1;0.12;TRUE;20
2020-11-17-1826-all-fit-variables_step-peak-broken-l2-2min-sun.csv;0;17.11.2020;2min;sun;l2;0.93;TRUE;TRUE;TRUE;3;0.5;0.9;TRUE;;step;peak;One slope D = 0.95 AU;broken;0.01;;-1.9;-2.5;1000.0;7,16;0.6;0.12;TRUE;20
2020-11-17-1826-all-fit-variables_step_ept-peak-best-l2-2min-sun.csv;0;17.11.2020;2min;sun;l2;0.93;TRUE;TRUE;TRUE;3;0.5;0.9;TRUE;;step_ept;peak;One slope D = 0.95 AU;best;0.01;;-1.9;-2.5;1000.0;7,16;0.6;0.12;TRUE;20
2020-11-17-1826-all-fit-variables_step_ept-peak-best-l2-5min-sun.csv;0;17.11.2020;5min;sun;l2;0.93;TRUE;TRUE;TRUE;3;0.5;0.9;TRUE;;step_ept;peak;One slope D = 0.95 AU;best;;;-1.9;-2.5;1000.0;7,16;0.1;0.12;TRUE;20
2020-11-17-1826-all-fit-variables_step_ept-peak-best_cb-l2-5min-sun.csv;0;17.11.2020;5min;sun;l2;0.93;TRUE;TRUE;TRUE;3;0.5;0.9;TRUE;;step_ept;peak;One slope D = 0.95 AU;best_cb;;;-1.9;-2.5;1000.0;7,16;0.1;0.12;TRUE;20
2020-11-17-1826-all-fit-variables_step_ept-peak-broken-l2-2min-sun.csv;0;17.11.2020;2min;sun;l2;0.93;TRUE;TRUE;TRUE;3;0.5;0.9;TRUE;;step_ept;peak;One slope D = 0.95 AU;broken;0.01;;-1.9;-2.5;1000.0;7,16;0.6;0.12;TRUE;20
2020-11-17-1826-all-fit-variables_step_ept-peak-cut-l2-5min-sun.csv;0;17.11.2020;5min;sun;l2;0.93;TRUE;TRUE;TRUE;3;0.5;0.9;TRUE;;step_ept;peak;One slope D = 0.95 AU;cut;;;-1.9;-2.5;1000.0;7,16;0.1;0.12;TRUE;20
2020-11-17-1826-all-fit-variables_step_ept_het-peak-best-l2-2min-sun.csv;0;17.11.2020;2min;sun;l2;0.93;TRUE;TRUE;TRUE;3;0.5;0.9;TRUE;;step_ept_het;peak;One slope D = 0.95 AU;best;0.01;;-1.9;-2.5;1000.0;7,16;0.6;0.12;TRUE;20
2020-11-17-1826-all-fit-variables_step_ept_het-peak-best-l2-5min-sun.csv;0;17.11.2020;5min;sun;l2;0.93;TRUE;TRUE;TRUE;3;0.5;0.9;TRUE;;step_ept_het;peak;One slope D = 0.95 AU;best;;;-1.9;-2.5;1000.0;7,16;0.1;0.12;TRUE;20
2020-11-18-1314-all-fit-variables_ept-peak-best-l2-1min-sun.csv;0;18.11.2020;1min;sun;l2;0.93;TRUE;TRUE;TRUE;3;0.5;0.9;TRUE;;ept;peak;One slope D = 0.95 AU;best;;;-1.9;-2.5;1000.0;7,16;1;0.12;TRUE;20
2020-11-18-1314-all-fit-variables_ept-peak-best-l2-2min-sun.csv;0;18.11.2020;2min;sun;l2;0.93;TRUE;TRUE;TRUE;3;0.5;0.9;TRUE;;ept;peak;One slope D = 0.95 AU;best;;;-1.9;-2.5;1000.0;7,16;1;0.12;TRUE;20
2020-11-18-1314-all-fit-variables_ept-peak-best-l2-5min-sun.csv;0;18.11.2020;5min;sun;l2;0.93;TRUE;TRUE;TRUE;3;0.5;0.9;TRUE;;ept;peak;One slope D = 0.95 AU;best;;;-1.9;-2.5;1000.0;7,16;1;0.12;TRUE;20
2020-11-18-1314-all-fit-variables_step-peak-best-l2-1min-sun.csv;0;18.11.2020;1min;sun;l2;0.93;TRUE;TRUE;TRUE;3;0.5;0.9;TRUE;;step;peak;One slope D = 0.95 AU;best;;;-1.9;-2.5;1000.0;7,16;1;0.12;TRUE;20
2020-11-18-1314-all-fit-variables_step-peak-best-l2-2min-sun.csv;0;18.11.2020;2min;sun;l2;0.93;TRUE;TRUE;TRUE;3;0.5;0.9;TRUE;;step;peak;One slope D = 0.95 AU;best;;;-1.9;-2.5;1000.0;7,16;1;0.12;TRUE;20
2020-11-18-1314-all-fit-variables_step-peak-best-l2-5min-sun.csv;0;18.11.2020;5min;sun;l2;0.93;TRUE;TRUE;TRUE;3;0.5;0.9;TRUE;;step;peak;One slope D = 0.95 AU;best;;;-1.9;-2.5;1000.0;7,16;1;0.12;TRUE;20
2020-11-18-1314-all-fit-variables_step-peak-broken-l2-5min-sun.csv;0;18.11.2020;5min;sun;l2;0.93;TRUE;TRUE;TRUE;3;0.5;0.9;TRUE;;step;peak;One slope D = 0.95 AU;broken;;;-1.9;-2.5;1000.0;7,16;1;0.12;TRUE;20
2020-11-18-1314-all-fit-variables_step_ept-peak-best-l2-1min-sun.csv;0;18.11.2020;1min;sun;l2;0.93;TRUE;TRUE;TRUE;3;0.5;0.9;TRUE;;step_ept;peak;One slope D = 0.95 AU;best;;;-1.9;-2.5;1000.0;7,16;1;0.12;TRUE;20
2020-11-18-1314-all-fit-variables_step_ept-peak-best-l2-2min-sun.csv;0;18.11.2020;2min;sun;l2;0.93;TRUE;TRUE;TRUE;3;0.5;0.9;TRUE;;step_ept;peak;One slope D = 0.95 AU;best;;;-1.9;-2.5;1000.0;7,16;1;0.12;TRUE;20
2020-11-18-1314-all-fit-variables_step_ept-peak-best-l2-5min-sun.csv;0;18.11.2020;5min;sun;l2;0.93;TRUE;TRUE;TRUE;3;0.5;0.9;TRUE;;step_ept;peak;One slope D = 0.95 AU;best;;;-1.9;-2.5;1000.0;7,16;1;0.12;TRUE;20
2020-11-18-1314-all-fit-variables_step_ept_het-peak-best-l2-5min-sun.csv;0;18.11.2020;5min;sun;l2;0.93;TRUE;TRUE;TRUE;3;0.5;0.9;TRUE;;step_ept_het;peak;One slope D = 0.95 AU;best;;;-1.9;-2.5;1000.0;7,16;1;0.12;TRUE;20
2020-11-18-1415-all-fit-variables_ept-peak-best-l2-1min-sun.csv;0;18.11.2020;1min;sun;l2;0.93;TRUE;TRUE;TRUE;3;0.5;0.9;TRUE;;ept;peak;One slope D = 1.2 AU;best;;;-1.9;-2.5;1000.0;7,16;1;0.12;TRUE;20
2020-11-18-1415-all-fit-variables_ept-peak-best-l2-2min-sun.csv;0;18.11.2020;2min;sun;l2;0.93;TRUE;TRUE;TRUE;3;0.5;0.9;TRUE;;ept;peak;One slope D = 1.2 AU;best;;;-1.9;-2.5;1000.0;7,16;1;0.12;TRUE;20
